Ticker,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema21,ema21_dist,r_squared,slope,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
ERAS,3.7000001271565757,0.32893504596827206,0.047548316605418244,0.03221087400970765,-0.029593899477211878,14.100000381469727,12.393752507302633,0.1376699972959554,0.9252434027531228,0.21451660917468152,0.6190476190476191,37,True,True,13.353999996185303,12.590750026702882,11.786500040690104,9.099800052642822,1.0,0.0,-0.07840239524607477,0.0618904521438973,0.06372210181936767,0.058814571841695015,1.5153148607920977,0.7233004840301714,3.6857397208165166,88.78662188410487,96.4713499514406,98.58368404014243,84.61071544189058,88.11103917125284,86.66235027516996,53.19682745224992,99.87050825509873,17.274805762382645,3.585302686953707,1.4325024279702168,15.405471026222077,14.333117513758499,86.66235027516996,30.220135966332144,0.14567821301392037,Other
DCO,0.5080924894871214,0.17466531519409687,0.06578846878703698,0.09321146220415492,0.037074008875583715,135.11000061035156,123.16840690442555,0.09695338281993268,0.9521474024561959,0.7078825922056278,0.5555555555555556,23,True,True,126.54300003051758,123.9685001373291,120.25900014241536,112.83279998779297,0.75,0.125,-0.04139550580143169,0.0847420008032972,0.04157281641680942,0.04171732453284045,3.6990827993466517,2.3754010695187167,0.5035167424410276,88.48089996762705,96.18404014244092,79.54030430560053,84.61071544189058,91.32405309161541,70.67011977986404,95.45160246034315,95.01456782130138,21.287633538361927,3.8726124959533825,20.47588216251214,15.405471026222077,15.741340239559726,70.67011977986404,50.08902557461962,5.001618646811266,Other
TGT,0.3356894650459045,0.1141110643658425,0.03744418171534784,0.06160472870928601,0.06742073876701918,120.80000305175781,113.45624325452206,0.06472768343616953,0.8990721913821589,0.4472735532417825,0.6190476190476191,23,True,True,115.58600082397462,114.45939674377442,111.20532684326172,107.21834426879883,0.625,0.125,-0.08572965299227923,0.04449815039376849,0.030500465375230063,0.03074740203153015,2.1613400649865873,2.3425178470187245,0.33163681100327297,88.43557785691162,92.11314341210748,86.29006150857883,84.61071544189058,80.22822920038847,95.92101003561024,91.23502751699579,90.22337325995467,25.730009711880868,7.9435092262868245,13.726124959533829,15.405471026222077,22.580123017157653,95.92101003561024,54.159922304953064,9.79281320815798,RETAIL & DEPARTMENT STORES
BGSF,0.349887189796158,0.04912284546978751,0.005042052230259622,-0.016447352942006877,-0.021276614009850005,5.980000019073486,5.884603198404621,0.01621125799862401,0.9249690823163237,0.032211020565985175,0.6507936507936508,30,True,True,6.070999956130981,5.895499968528748,5.781666644414266,5.461799993515014,0.75,0.125,-0.05624999379118308,0.035905157274053356,0.04267139303221449,0.04204492263943651,1.6919726197884257,1.1003236245954693,0.34579145802617195,88.04163968921982,83.7325995467789,98.27614114600195,84.61071544189058,89.25218517319522,98.68889608287472,73.25186144383295,90.93557785691162,24.587042732275815,16.324053091615408,1.7400453221107155,15.405471026222077,17.81320815797993,98.68889608287472,44.85270314017482,9.080608611201036,Other
AUGO,1.09477605687277,0.3744083312439767,-0.005432846278735029,-0.002841893101744236,-0.044371352022694245,84.20999908447266,76.04321298865514,0.10739664691753509,0.9143061792613212,0.7004884160974975,0.6031746031746031,32,True,True,80.52499847412109,74.58949947357178,72.30783297220866,64.67259986877441,0.75,0.0,-0.17989558012860804,0.06736866047170922,0.060799142790137796,0.06580403008109534,2.4040017323516674,0.9424110414461363,1.088420236244207,87.93622531563612,97.8026869537067,96.99741016510197,84.61071544189058,72.32923276141146,83.08514082227259,72.11071544189059,98.75364195532535,19.204839753965686,2.2539656846876013,3.018776303010683,15.405471026222077,27.751699579151833,83.08514082227259,32.80187763030107,1.2625445127873098,Other
BWLP,0.4692737621508804,0.19235753547572815,0.05743825438049294,0.009873851327244745,-0.01708487467405519,18.40999984741211,17.02185363010855,0.08155082563089273,0.9364855896466807,0.10648041505784302,0.6507936507936508,21,True,True,17.760999870300292,17.07999997138977,16.301999950408934,15.090799980163574,0.875,0.0,-0.043096566110219635,0.06500182328544113,0.024680148826030986,0.027597589959084436,1.3622324038233669,1.7877505977561154,0.46481579612828505,87.79358206539334,92.66752994496602,81.46244739397864,84.61071544189058,92.962932988022,84.55810942052445,78.90093881515054,94.25380382000648,23.497086435739725,7.389122693428293,18.553739074134022,15.405471026222077,8.926837164130788,84.55810942052445,61.848494658465526,5.7623826481061835,MARINE SHIPPING
INTT,0.5369211620456231,0.31056562251371655,0.2015655002072982,0.054077264812854714,0.006557370898096224,12.279999732971191,10.376099270032574,0.18348903700616198,0.8104872289518527,0.06415082525730867,0.5714285714285714,29,True,True,10.64099998474121,10.357999992370605,9.954999955495198,9.088599967956544,0.625,0.125,-0.0975000262260437,0.06198321446550299,0.06476121828190654,0.05554908382416886,2.136442474465215,2.5953917050691246,0.5322579450902089,87.77881191324053,88.51974749109743,92.43282615733247,84.61071544189058,78.2211071544189,86.61379087083199,91.461638070573,95.51634833279378,24.607882809970864,11.53690514729686,7.583360310780188,15.405471026222077,24.587245063127224,86.61379087083199,54.7588216251214,4.499838135318873,Other
WLFC,0.611953455164153,0.02408578554331311,-0.06152117694608551,-0.05871094359476565,-0.0221825903524928,191.75,195.08287005545458,-0.01708438088135145,0.923005685125161,1.542082523237542,0.5873015873015873,31,True,True,200.91900177001952,198.72986602783203,193.2958023071289,174.87994140625,0.625,0.125,-0.06711023043099615,0.060585395065407596,0.03346586241660475,0.03843920020822663,1.8265874489417007,1.0299527062532843,0.607062580557771,87.7634347685335,90.72515377144707,95.27759792813208,84.61071544189058,83.23081903528649,87.52023308514082,72.03787633538361,96.5846552282292,21.439381676918092,9.331498866947232,4.738588539980576,15.405471026222077,19.57753318225963,87.52023308514082,40.53091615409518,3.4315312398834577,Other
TDY,0.39323128837389065,0.11907444491776781,0.013094562953215632,0.0075613340165399815,-0.003398287463085649,686.25,657.9179104691578,0.043063259230378285,0.9306183691218924,3.481632849404707,0.6349206349206349,21,True,True,676.5509887695313,662.2679870605468,645.6123229980469,600.5249938964844,0.875,0.0,-0.03878721224124143,0.0563134613087713,0.02694872671638448,0.024934692541634138,2.66762543943752,0.7235389799000813,0.3890040450206196,87.06013272903853,94.6827452249919,81.08611201035934,84.61071544189058,93.38378115895111,90.38523794108126,62.51213985108449,92.37617351893816,19.66757041113629,5.373907413402395,18.930074457753317,15.405471026222077,8.505988993201683,90.38523794108126,20.95338297183554,7.640012949174491,Other
NOC,0.3960170172033051,0.11170653558508901,0.07881753572549387,0.047944421760189926,-0.011601304592457904,759.1099853515625,711.0319769838235,0.0676172238718215,0.9431385983966514,3.5297914173929006,0.5873015873015873,22,True,True,729.7463562011719,711.8090240478516,699.3632893880208,658.825048828125,0.625,0.125,-0.05612441081337927,0.05585060872441398,0.027373849748304997,0.027153871867350333,1.2230037333083665,1.3732107039257906,0.3917813215896117,86.64292651343477,94.63418582065393,81.04969245710586,84.61071544189058,85.01133052767887,90.64422143088377,70.718679184202,92.4732923276141,25.076885723535124,5.422466817740369,18.966494011006798,15.405471026222077,17.79702168986727,90.64422143088377,60.772094528973774,7.542894140498543,DEFENSE
