Ticker,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema21,ema21_dist,r_squared,r_squared_15d,slope,sma30w_dist,atr_dist_50sma,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
XOMA,0.6415699962212039,0.3066624348700045,0.08181584425322744,-0.02335000032720776,0.003181621785935549,40.9900016784668,37.472863530743766,0.09385827012759446,0.8369717601829298,0.3776483257272891,0.28930109061769993,0.3485031839461375,7.18,0.5873015873015873,29,True,True,39.78800048828125,37.931000518798825,35.165000406901044,31.598600273132323,0.75,0.0,-0.15127920013278598,0.041163331705783644,0.04200275231308975,0.04138640581705878,3.108923180517367,1.9433549579707075,0.5967455306590419,90.57462927143779,95.46260477111541,93.63716956802062,79.36814958091554,82.04787234042554,94.5519019987105,92.77885235332043,97.1792392005158,22.763539651837522,4.557543520309478,6.378949065119278,20.647969052224372,18.43971631205674,94.5519019987105,50.65280464216634,2.8368794326241136,Other
PUMP,0.5909092159538049,0.2630118636821491,0.0814023081071837,0.05752479553354562,0.044776158623958555,18.200000762939453,15.40953642654411,0.18108684512978304,0.773792816114765,0.8509076145672074,0.08534754032180424,0.6161497327851636,7.0,0.6031746031746031,28,True,True,15.976999950408935,14.928999900817871,14.83699992497762,13.893799934387207,0.875,0.125,-0.0945673951604258,0.05340885499935412,0.048160532354561955,0.04427786900479853,1.9583697813121272,1.7465129426116661,0.547468086104208,89.46748065764025,92.17037395228886,93.99177949709865,79.36814958091554,90.58268858800774,85.58994197292068,85.85589941972921,96.88910380399743,22.68516279819471,7.849774339136042,6.024339136041263,20.647969052224372,15.336879432624112,85.58994197292068,55.49645390070922,3.127014829142489,Other
ACHC,1.1655172272676018,0.2082086774824237,0.033650331790757576,0.003907659390487256,0.02465555863150294,28.260000228881836,26.5210483721244,0.0655687449590116,0.8364892781020785,0.6417255342846807,0.2426670461481068,0.44690583458007144,4.47,0.5873015873015873,29,True,True,27.588999938964843,26.649499893188477,25.501333236694336,24.108999977111818,0.625,0.125,-0.11436378646361718,0.06358860753224545,0.04383290824914003,0.03854515137798321,2.5800850117976952,1.3753849505686588,1.1063859367339235,88.58478401031593,94.58010960670536,93.63716956802062,79.36814958091554,84.24403610573825,77.49838813668602,86.71824629271438,99.30689877498388,20.75535944551902,5.440038684719536,6.378949065119278,20.647969052224372,18.077047066408767,77.49838813668602,48.0899419729207,0.7092198581560284,Other
PRAA,0.7130570690195505,0.25199999128069195,0.05641273332718396,-0.001367396805617098,-0.011727570049034432,21.90999984741211,20.18732105786722,0.08533469025468059,0.8388632740835311,0.8674752523204379,0.18355079354595297,0.35057943122015484,7.79,0.6349206349206349,30,True,True,21.267000007629395,20.088500213623046,19.258333460489908,17.65360004425049,0.75,0.125,-0.19036517723781682,0.04665092387793842,0.03226537890890708,0.030945758645840912,1.9363642600802196,1.0461260180275325,0.66628058810613,88.04944390715669,94.45921985815602,97.6426499032882,79.36814958091554,76.54335912314636,90.92520954223082,75.49161831076725,97.59832366215345,23.045414248871698,5.560928433268859,2.3734687298517088,20.647969052224372,28.70728562217924,90.92520954223082,45.61573178594455,2.4177949709864603,Other
ADEA,0.6983699114156866,0.277153543783016,0.018586172880489634,0.018586172880489634,0.01521670521954826,30.690000534057617,28.096466595189188,0.09230818865004564,0.9526048572355543,0.8742088780299138,0.21670023032597135,0.606570194613097,9.1,0.6349206349206349,27,True,True,29.80399971008301,28.02249984741211,26.699999872843424,24.38444999694824,0.875,0.0,-0.0835974892823102,0.0827719301805879,0.03166172333214049,0.028408751259502193,2.0183623180906176,1.2237691663663486,0.6519944758379727,87.94024016763379,95.94213410702773,94.41892327530626,79.36814958091554,91.9447130883301,62.782076079948425,80.61734364925854,97.54996776273373,17.788725016118637,4.078014184397163,5.597195357833655,20.647969052224372,9.211798839458416,62.782076079948425,49.258542875564146,2.4661508704061896,Other
FTI,0.37786949101316264,0.11369884164089046,0.06281053656843243,0.024893437817034493,0.020410881084379186,76.98999786376953,72.44007838789443,0.06280942231331771,0.884153366051793,0.16032887266590387,0.28806695392421144,0.40129484977016566,4.38,0.6507936507936508,28,True,True,73.28200149536133,72.83100051879883,71.34666697184245,68.60077095031738,0.625,0.25,-0.07377784625116143,0.05171630670791114,0.027237484863491895,0.027888592574790982,1.468392670137556,1.2889039466953651,0.3402455921290175,87.92250967117988,90.99774339136042,96.15167633784655,79.36814958091554,89.60348162475822,86.81495809155383,73.96840747904577,93.26241134751773,24.415296582849773,9.022404900064474,3.864442295293359,20.647969052224372,21.977756286266924,86.81495809155383,58.29303675048355,6.753707285622179,OIL AND GAS EQUIPMENT AND SERVICES
CBL,0.2793561793049665,0.17499738609634494,-0.0013323908554342368,-0.003766020630126475,-0.0031035111450721485,44.970001220703125,42.805692287790116,0.05056124120974341,0.8126660763441838,0.8618401510562617,0.15528763457560507,0.2566381857241795,6.36,0.6190476190476191,22,True,True,44.40799980163574,42.92254238128662,41.124857076009114,39.53697639465332,0.75,0.125,-0.04469875743749283,0.05346514434342072,0.024179566742915316,0.02161758065093113,4.649246919214971,1.7486029758297987,0.24442227022219656,87.9180770470664,90.59074790457768,81.12911025145067,79.36814958091554,95.32962604771116,85.54158607350097,93.51225016118633,89.9097356544165,24.129392327530624,9.429400386847195,18.88700838168923,20.647969052224372,9.921018697614443,85.54158607350097,47.88845905867183,10.106382978723403,Other
STRO,1.3719838611716106,0.42071455666127155,0.01607802265730724,0.05358735423887364,0.020178748649488248,35.38999938964844,30.594998271979208,0.15672500044102924,0.8899459833283886,0.8068160583889162,0.3122700691314703,1.142554396743442,5.39,0.5555555555555556,32,True,True,33.719000053405765,29.99550018310547,27.675000190734863,25.26380012512207,0.75,0.125,-0.18678725690118178,0.06309697014547619,0.08194379761012663,0.0744157013330206,2.140423034600807,1.5612064696373675,1.307214823516293,87.86911669890394,97.54190844616377,91.09848484848484,79.36814958091554,76.96244358478401,77.9819471308833,86.22662798194713,99.4842037395229,22.4278691166989,2.478239845261122,8.917633784655061,20.647969052224372,28.288201160541586,77.9819471308833,52.78852353320438,0.5319148936170213,Other
TIGO,0.35478445810897097,0.12482908489705431,-0.023863256038502943,-0.007364488673992285,0.0018277266533043032,82.22000122070312,80.45147261441714,0.02198255108097372,0.9223170388382091,0.07159369775064141,0.3911843232112363,0.3590443151069216,3.14,0.6349206349206349,31,True,True,82.8745002746582,81.35665245056153,78.34902521769206,74.40883399963379,0.75,0.0,-0.0781105388343512,0.047390335150210905,0.0337381001805757,0.033404728278549116,1.811700813613517,0.7554177550547416,0.31779091569137746,87.85763217279175,91.97292069632496,98.17053513862024,79.36814958091554,92.0172469374597,90.15151515151516,61.50870406189556,92.64990328820116,19.86319310122502,8.047227595099935,1.8455834945196647,20.647969052224372,8.470341715022567,90.15151515151516,34.55029013539652,7.366215344938749,Other
ZYME,0.2435210441157483,0.11142168155627455,0.014582559755013831,-0.02556020853945911,-0.003937029643842585,27.829999923706055,27.07565628300956,0.027860585642382276,0.8039808237972538,0.5073145797944609,0.09340750044941347,0.18268679532024432,2.55,0.6190476190476191,27,True,True,27.951000213623047,27.217500019073487,26.166166750590005,25.24529998779297,0.625,0.125,-0.10133542876989043,0.04775384389418552,0.039638794137573395,0.0402160901369828,2.822481209984226,1.320494197337145,0.20956564389151128,87.13974854932302,86.91569954867828,93.6774661508704,79.36814958091554,86.21050934880722,89.9097356544165,86.90361057382334,88.4107027724049,24.523089941972916,13.104448742746616,6.338652482269503,20.647969052224372,16.11057382333978,89.9097356544165,46.30883301096067,11.60541586073501,Other
