Ticker,6m_return,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema9,ema9_dist,ema21,ema21_dist,ema60,ema60_dist,sma30d,low_52w,dist_from_52w_low,perf_52w,avg_dollar_vol,ipo_vwap_dist,r_squared,r_squared_15d,slope,sma30w_dist,ema21w,sma30w,atr_dist_50sma,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
EAT,0.38971138562458635,0.6072193952303057,0.2780803529153307,0.13650119455594378,0.07357286951539567,0.05428173265872872,225.3000030517578,205.12625755689197,0.0983479430431798,192.98151940584182,0.16746931905925114,0.0,0.0,184.82233479817708,102.29000091552734,1.202561355315795,0.4031263173379444,211350261.1201538,0.5374151208734571,0.8876693556031132,0.7370667242646741,1.2566465342649118,0.415888802499019,171.03074060189223,159.12266743977864,8.8,0.6190476190476191,26,True,True,200.03099975585937,191.97650070190429,184.82233479817708,169.5060012817383,1.0,0.0,-0.14125483443057418,0.033272048467541886,0.04132667651629267,0.0374167881527555,3.122552983982895,1.4912476568003428,0.5191762493337696,91.69829107830553,97.3122593068036,92.87146983311939,85.75497432605904,80.53193196405648,98.01026957637997,90.06739409499357,96.88703465982029,21.796975288831835,2.7037869062901154,7.1445763799743265,14.26107188703466,21.22512836970475,98.01026957637997,46.12483953786906,3.1290115532734273,RESTAURANTS
ICUI,0.14189505398609048,0.4573186577048657,0.08473944920200252,0.04318979198233375,0.02708158585556149,0.026289288938233277,172.94000244140625,165.35589111001258,0.04586538332854378,159.67371163919958,0.08308375039332286,0.0,0.0,155.4693344116211,108.0999984741211,0.5998150312907518,0.3296940311220173,46498219.321826175,0.27189009629941246,0.9363868818679267,0.6498889635675827,0.7794451248444354,0.22290527705407473,146.77434761905837,141.41733271280924,5.41,0.5555555555555556,25,True,True,163.0710021972656,159.74900131225587,155.4693344116211,148.1852001953125,0.75,0.0,-0.06098235439264667,0.03367245234349299,0.0304528441300203,0.030852984169772297,1.792616447622729,1.9817949307555767,0.3774870431917346,91.09214537869062,94.56033376123234,86.30455712451862,85.75497432605904,89.34531450577663,97.83376123234918,89.29717586649551,95.28241335044929,22.82894736842105,5.45571245186136,13.711489088575096,14.26107188703466,10.554396662387676,97.83376123234918,54.292362002567394,4.7336328626444155,Other
NSP,0.30113522306729296,0.847888036682307,0.21225133438950317,0.01996955497328261,-0.007403252271308788,0.05967200990600212,53.630001068115234,51.49365528274394,0.04148755363434472,48.75821323622867,0.09991727564509469,0.0,0.0,46.36200002034505,19.54464340209961,1.7439743956829603,0.1961338390541727,35724776.31847362,0.5023416330340894,0.9335837618367017,0.503023522583371,0.41842078860454285,0.549137097447241,40.17255223685183,34.619273630778,4.99,0.5873015873015873,30,True,True,51.04900016784668,49.2079999923706,46.36200002034505,41.69062870025635,0.75,0.0,-0.11501989969418262,0.058033308892468896,0.053861243302321435,0.0573373090483213,1.3382938814156982,1.1338788209798294,0.7466611124074348,89.32565789473685,97.25208600770219,96.34146341463415,85.75497432605904,81.93196405648267,82.68613607188703,73.08247753530166,98.31514762516046,19.486320603337614,2.7639602053915278,3.6745827984595634,14.26107188703466,17.967747111681643,82.68613607188703,49.71116816431322,1.7008985879332479,Other
CARE,0.6276945800307181,0.394164055043872,0.06716865936718999,0.025767208050314242,0.038089633647126545,0.024580637047790718,35.43000030517578,34.29759919576626,0.03301692059977499,33.45490497842815,0.059037541072712175,0.0,0.0,33.21099999745687,16.89556121826172,1.097000498976083,1.067739805411971,13068800.378955841,0.3800818928201762,0.910220354946114,0.8813562287285543,0.1609794960776415,0.3528138962425308,29.36498088808683,26.18985538482666,4.44,0.6507936507936508,26,True,True,34.138000106811525,33.27249994277954,33.21099999745687,31.326399955749512,0.625,0.125,-0.0870193759931695,0.0275373430655309,0.03023298796248842,0.029494780335671822,1.4417642649676754,1.3861991472554402,0.3177920365962319,89.09980744544288,90.47256097560975,93.4130295250321,85.75497432605904,81.71534017971759,99.39024390243902,80.3594351732991,93.74197689345316,24.41872593068036,9.543485237483955,6.603016688061618,14.26107188703466,19.929396662387678,99.39024390243902,53.47400513478819,6.274069319640565,Other
CBRL,0.8678335848062395,0.9967108348469588,0.1481975563122939,0.07377805806889268,0.012263435980854337,0.024649750038897873,57.779998779296875,55.31017017102673,0.044654149510534646,52.969815604057786,0.09080989088568023,0.0,0.0,52.136317316691084,24.52000617980957,1.3564430757311339,0.026584679131797496,50591213.52488327,0.5646854790918735,0.9028203238523267,0.6294681575968988,0.5190606831405571,0.5576941768208338,43.91104116774922,37.093288040161134,5.19,0.5555555555555556,28,True,True,54.66399993896484,52.901996803283694,52.136317316691084,46.30067832946777,0.5,0.125,-0.11833025716464143,0.02940158784605923,0.04743697727411916,0.04773875394359718,1.3549553351707846,1.311646734530552,0.8873314284838131,88.79934210526316,96.1890243902439,91.31899871630296,85.75497432605904,71.03257381258024,98.95699614890886,77.65564826700898,98.74839537869063,23.37191110397946,3.8270218228498076,8.697047496790757,14.26107188703466,23.90885750962773,98.95699614890886,53.62644415917843,1.2676508344030808,RESTAURANTS
SN,0.34379454510731944,0.3986934064089305,0.07822998454550643,0.0045671359049892155,-0.016898270225275704,-0.007417919988560389,160.57000732421875,157.41159093841944,0.02006470023567012,152.54565438033586,0.05260295992356555,0.0,0.0,150.3316680908203,84.56999969482422,0.8986639222377321,0.38100982162360897,229227018.2362396,0.41204943872485966,0.9055134185193044,0.4492556926224457,0.9462481160317694,0.27737270608843523,135.50647777268753,125.70333353678386,4.41,0.5873015873015873,27,True,True,154.7280029296875,152.87350158691407,150.3316680908203,140.12700057983398,0.75,0.125,-0.13133468458715497,0.03786673743248521,0.03267628567755397,0.033087924853111135,1.239357566454368,1.2931164317181834,0.32207327103074945,88.68461168164312,93.58552631578947,93.20442875481386,85.75497432605904,80.07060333761233,95.84403080872914,74.55872913992297,93.93453145057767,24.358552631578952,6.430519897304237,6.811617458279846,14.26107188703466,25.40115532734275,95.84403080872914,55.87291399229782,6.081514762516046,Other
BJRI,0.5892482889347682,0.8476732307121945,0.15374222841613752,-0.00957209661967461,-0.08039322716084923,0.010057688197560354,68.29000091552734,68.46992534769753,-0.0026277877660375233,65.32529653927544,0.04538371095597609,0.0,0.0,62.94866625467936,28.690000534057617,1.380271859335135,0.9944508635487088,34615583.35197411,0.6561407972980916,0.9503421416228526,0.5353831506935706,0.5437667908207064,0.4665101575561254,53.457563387874465,46.56633338928223,4.41,0.6507936507936508,31,True,True,68.54799957275391,65.55099925994872,62.94866625467936,56.72159973144531,0.75,0.0,-0.08955024689710396,0.09467894454937203,0.03722130510874511,0.046210480601095984,1.7915957189340361,1.3412962606011094,0.7464580734639165,88.64790596919127,96.9472079589217,98.73636071887034,85.75497432605904,85.11713735558408,57.76636713735558,83.63286264441592,98.29910141206675,16.130054557124517,3.0688382541720154,1.2796854942233633,14.26107188703466,14.78257381258023,57.76636713735558,48.66014120667522,1.7169448010269577,RESTAURANTS
TXG,1.3563908031954732,1.1713625473368259,0.17524995803833007,-0.0008501788772790384,-0.04895816242568749,-0.005500362464831873,47.0099983215332,46.7856667872346,0.004794877356750958,44.28357770407047,0.06156730686220342,0.0,0.0,42.09666665395101,11.34000015258789,3.1455024417089708,2.4364033094171154,131616207.44156933,1.1556279426934588,0.9590211018359885,0.36430595102805763,0.4900936021965953,0.7040428517504441,33.66493122568343,27.58733342488607,4.36,0.6031746031746031,34,True,True,47.15799980163574,44.873000144958496,42.09666665395101,37.046200103759766,0.625,0.0,-0.1391044730570779,0.04859223478787525,0.06486174526664128,0.061666217443455344,0.9780569449269301,1.1583511647596512,1.052415756303324,88.53237323491656,97.40452503209244,98.37532092426187,85.75497432605904,75.15243902439025,89.47368421052632,64.42554557124518,98.98908857509628,21.19143132220796,2.611521181001284,1.6407252888318355,14.26107188703466,20.92025032092426,89.47368421052632,59.6517971758665,1.0269576379974326,ARKK
IPAR,0.29427690348299984,0.4032057527144533,0.03179977272508148,-0.02153990788314208,-0.005176407800100506,0.0029706552237798453,124.91999816894531,124.40205671772515,0.004163447654208837,120.7279858339355,0.03472278863971134,0.0,0.0,117.86700057983398,77.5107650756836,0.6116470795633364,0.0771773011861736,35264351.32154083,0.2951812950293689,0.8814190371796403,0.5039311761456245,0.7324675506527341,0.24728886524708954,106.94001889426713,100.1532216389974,4.6,0.5873015873015873,27,True,True,124.1779998779297,122.21550064086914,117.86700057983398,108.47928924560547,0.75,0.0,-0.0912350044718827,0.03615987637748355,0.03249219491949455,0.03296395542913303,1.323062401510243,0.9894873852065851,0.3263384319393739,87.9392650834403,90.07140564826702,93.20442875481386,85.75497432605904,84.91655969191271,96.77471116816432,67.6107188703466,94.01476251604622,22.66026155327343,9.9446405648267,6.811617458279846,14.26107188703466,14.983151476251605,96.77471116816432,44.88125802310655,6.001283697047497,Other
CURV,1.2457628925104942,0.7207793253311386,0.4640884967642251,-0.02573526930386246,0.01532574784649095,0.03921574310631365,2.6500000953674316,2.546265036795215,0.040740086783259605,2.350692994847839,0.12732717593305592,0.0,0.0,2.171999990940094,0.9660000205039978,1.7432712620283681,0.03515631039044955,621880.5477568865,0.6392301270506217,0.8238016028061471,0.8441869384697502,0.01968509996289848,0.5742574786803334,1.9447393538980045,1.6833333373069763,4.83,0.6190476190476191,31,True,True,2.540999984741211,2.308499997854233,2.171999990940094,1.9699999928474425,0.75,0.125,-0.17142852925929702,0.061479287885013466,0.06860269724252173,0.07140161920526235,3.9243638010871753,1.311061357677654,0.6265153899620893,87.57321084724006,88.22207958921695,98.19480102695763,85.75497432605904,75.3048780487805,80.32734274711169,88.26219512195121,97.70539152759949,22.450056161745827,11.793966623876765,1.8212451861360721,14.26107188703466,30.16688061617458,80.32734274711169,43.00385109114249,2.3106546854942236,Other
