Ticker,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema21,ema21_dist,ema60,ema60_dist,sma30d,low_52w,dist_from_52w_low,perf_52w,avg_dollar_vol,ipo_vwap_dist,r_squared,r_squared_15d,slope,sma30w_dist,atr_dist_50sma,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
NBR,0.46918981102000645,0.39631443349846196,0.08492689937279899,0.06713609730300493,0.0509166978367582,110.62999725341797,98.13882459987246,0.1272806425436008,87.4677247519625,0.26480936330672955,92.72599970499674,24.600000381469727,3.49715429015812,3.043493961457058,34058418.783735275,1.1513353074570751,0.708606532310242,0.1973553332487726,0.44678281455911617,0.5522732630766203,5.56,0.6031746031746031,33,True,True,102.16699905395508,98.26099967956543,92.72599970499674,88.43619918823242,0.625,0.25,-0.11573655461816369,0.06144855340164523,0.043759720028111945,0.04509886435896548,2.328391819883827,1.1041465676230025,0.3613268632312798,88.70942062752408,93.20052811432123,97.44874184529357,82.75085430257845,80.8286735010873,87.10779745262504,82.04411307859584,93.39857098477789,23.4783706119913,6.849953401677539,2.5667909288598945,17.264678471575024,34.7856477166822,87.10779745262504,42.00838769804287,6.616961789375582,OIL AND GAS DRILLING
ATEX,0.6721410509792274,0.2906103641209263,0.013456212760116647,-0.02896501979135317,-0.03645288785478907,54.97999954223633,50.6785086193651,0.08487800924014485,43.113521912097816,0.2752379556078144,46.773999786376955,17.989999771118164,2.056142314715497,0.9475735187305963,16822513.156394195,0.8493397413807993,0.7457611718797686,0.8536828312423361,0.3072633362402381,0.6868048997180323,4.87,0.5873015873015873,34,True,True,54.55199966430664,50.52149963378906,46.773999786376955,43.52029991149902,0.625,0.0,-0.13497233218297858,0.058558939540367616,0.05331590605246389,0.05412098569296222,1.6583708739979366,1.0933194004774052,0.5493781094421228,88.29314228021123,93.77912395153774,96.41192917054985,82.75085430257845,77.9551102826965,88.53681267474371,78.27741534638086,95.99254426840633,21.358923578751163,6.271357564461012,3.6036036036036037,17.264678471575024,19.221808014911467,88.53681267474371,45.21590556073315,4.022988505747127,Other
ASTH,1.0041130083917453,0.23942761833475673,-0.000769002322164057,-0.004596534879396241,0.018818642244892606,38.97999954223633,35.687227450474914,0.092267523340976,30.754507706772486,0.2674564624441215,33.71799971262614,18.15999984741211,1.1464757637534437,0.45176904984843147,18294923.15617466,0.4714333366713103,0.9078831508110476,0.7779116102224756,0.31284945196087277,0.4688555732101573,6.61,0.6349206349206349,27,True,True,37.89599952697754,35.98949966430664,33.71799971262614,29.97779983520508,0.875,0.0,-0.11664132714362944,0.09720504906426228,0.04617488463699083,0.04542622811450931,5.193386632359248,0.9584384534691005,0.8569778083206341,87.56446101273687,96.43522833178005,93.89561975768872,82.75085430257845,86.25349487418453,64.15035725380554,78.05995650823237,97.99627213420317,16.68122864243554,3.6152531842187017,6.11991301646474,17.264678471575024,16.48803976390183,64.15035725380554,31.79558869214042,2.019260639950295,Other
CVE,0.4277697449767294,0.26736250053024446,0.05198265425006656,0.04709784723914919,0.02433484774258294,31.56999969482422,28.8050086525687,0.09598993965269824,26.087619072760553,0.21015258643469328,27.697333399454752,12.767653465270996,1.4726548054187918,1.3703882982090376,244157184.4541542,0.708226500188483,0.8689727529203379,0.4541318679972806,0.1346957926193507,0.446646227641887,5.55,0.5873015873015873,26,True,True,29.767999839782714,28.66900005340576,27.697333399454752,26.56824062347412,0.75,0.25,-0.09856565842353955,0.09670316266015014,0.02776609157832042,0.033926885376899314,4.770694901217696,1.1411823057136101,0.3229477183729447,86.68142280211246,93.6354457906182,89.41829760795278,82.75085430257845,87.55824790307548,64.4610127368748,85.9273066169618,92.7461944703324,21.788404784094443,6.4150357253805534,10.597235166200685,17.264678471575024,32.19167443305374,64.4610127368748,40.03572538055297,7.269338303821063,OIL AND GAS UPSTREAM
TWN,0.4673455503955667,0.11620753792063347,-0.018065834641213783,-0.04240958153427372,-0.00022033563453259392,90.7699966430664,89.91500820494146,0.00950885124957327,78.43227873405951,0.157304085870569,86.4413330078125,32.61143493652344,1.7833794133789502,1.7598684206710982,2749062.717552185,0.5689483274448123,0.8406893545667967,0.010269031709638476,0.6664506438690396,0.4226426430358426,4.23,0.5396825396825397,22,True,True,94.6779998779297,92.25499992370605,86.4413330078125,77.39139976501465,0.625,0.125,-0.08608675099856836,0.035634037412004174,0.03531334563940451,0.04090400986001329,1.1650097960960744,1.4150690441077893,0.35961800198543015,86.46804131717924,93.4878844361603,72.75163094128612,82.75085430257845,85.34094439266852,98.44672258465363,77.86579683131407,93.38303821062442,27.553005591798698,6.5625970798384605,27.26390183286735,17.264678471575024,19.392668530599565,98.44672258465363,58.16247281764524,6.632494563529047,Other
VSAT,0.5557971447443979,0.1161047846351047,0.007465823288429274,-0.03741596627869366,0.029064699900236062,71.5199966430664,66.16307519944911,0.08096542410504369,57.62292715846097,0.24117257088292304,63.45533383687337,8.729999542236328,7.192439907590811,5.677870811234906,101195970.97810288,1.356847413721911,0.8500959640568316,0.7729919186658699,0.46188797892147127,0.5268239483206152,4.7,0.5873015873015873,27,True,True,69.91700057983398,66.01000080108642,63.45533383687337,57.239400177001954,0.625,0.125,-0.16116649814516562,0.07552576629856624,0.04926920745906327,0.053122008766763575,1.3960436868429111,1.6715368584582404,0.4415757793805118,86.35173967070519,93.71310966138553,91.33271202236719,82.75085430257845,74.00201926063994,77.86579683131407,84.47499223361292,94.76545511028269,24.06104380242311,6.337371854613234,8.682820751786268,17.264678471575024,30.731593662628143,77.86579683131407,56.63249456352904,5.250077663870767,COMMUNICATION EQUIPMENT
WLTH,0.30054051167256124,0.09562843665847792,0.04790942619042318,0.070284695546256,0.06648936327611485,12.029999732971191,11.060695336199496,0.08763503263663286,10.40988432989216,0.15563241163274436,10.891666634877522,7.199999809265137,0.6708333405079667,-0.13763441595309153,9602449.063129615,0.20297422859857556,0.8152953148276859,0.5943034753992522,0.06387144631596023,0.0,4.7,0.6349206349206349,26,True,True,11.405999946594239,11.110499954223632,10.891666634877522,9.964399967193604,0.625,0.125,-0.15567568186167124,0.061790457171619774,0.04381579926661534,0.044081458669417845,3.0624448217317486,1.764702331365376,0.20505922514616615,86.33232370301337,88.01646474060266,91.9812053432743,82.75085430257845,74.89515377446412,86.87480584032308,92.7927927927928,89.17365641503572,25.980118049083565,12.034016775396086,8.034327430879156,17.264678471575024,29.838459148803977,86.87480584032308,49.29325877601739,10.84187635911774,Other
MDIA,0.5726821440068021,0.14722217523117495,0.02139781094573279,0.009458009445531108,0.0020041747142891006,0.9498999714851379,0.9038278646213754,0.05097442628974786,0.8160131062003072,0.1640744055058908,0.8787966668605804,0.5509999990463257,0.7239563940639399,-0.07145653009376166,30992.792959031463,-0.1868294049042573,0.8987752821954096,0.21109439448867617,0.006683030902492469,0.24278776751593717,2.98,0.5396825396825397,27,True,True,0.9416899919509888,0.9203449964523316,0.8787966668605804,0.7922979986667633,0.75,0.0,-0.10147059558275241,0.07137066696420136,0.061051904942341265,0.06684160963148986,2.1211708261476363,1.7917264212876491,0.4572211390945115,86.30999534016776,85.90400745573159,84.68856787822305,82.75085430257845,87.18546132339236,80.91022056539298,90.46287666977321,95.02951227089159,24.319664492078285,14.146474060267163,15.326964895930413,17.264678471575024,14.127058092575334,80.91022056539298,51.85616651133892,4.986020503261883,Other
IRDM,0.8926510414816813,0.03976999953664316,0.04176672311185533,-0.0006907386388689454,0.04276796347129395,43.400001525878906,40.163526076242235,0.08058245293236667,34.14240670698532,0.27114652163637726,39.4613333384196,15.618335723876953,1.778785287572605,0.7678905283237676,96863947.77572632,0.8352819132803023,0.9000768196546373,0.8351121654460796,0.38977305936740114,0.7217755075208762,4.9,0.6190476190476191,31,True,True,41.78199996948242,40.52899990081787,39.4613333384196,34.45749534606934,0.75,0.0,-0.1617139019221206,0.09604154414124998,0.060774867413536104,0.05291310137513679,1.7144809521097888,1.0947995552665255,0.7536990021070781,85.98361292326808,92.39670705187947,97.50698974836905,82.75085430257845,78.03665734700218,64.97359428393911,78.85212799005902,97.57688723205965,19.593235476856165,7.653774464119292,2.5085430257844052,17.264678471575024,23.275862068965516,64.97359428393911,44.812053432743085,2.438645542093818,ARKK
AMZN,0.2933248402498838,0.06677938881014756,-0.003611548966234577,-0.00883173362158409,0.00272571614748814,264.8599853515625,261.3826939336049,0.013303449305028862,243.7249039904618,0.08671695429995052,256.67066650390626,198.7899932861328,0.3323607540462581,0.2847302126830614,12063415059.722752,0.16836761979738904,0.804642397989749,0.012818837096452472,1.2782570022958033,0.1397170473662732,4.13,0.6031746031746031,25,True,True,269.35499877929686,265.3559997558594,256.67066650390626,237.74099975585938,0.75,0.25,-0.08952227041634875,0.042799970279044613,0.024442114071364488,0.02763453910161823,1.207612769006491,0.738214991142086,0.19837330391920022,85.76421248835041,90.70751786269028,88.39313451382417,82.75085430257845,89.05716060888474,96.38086362224293,55.327741534638086,88.86300093196645,25.4222972972973,9.34296365330848,11.622398260329295,17.264678471575024,30.692761727244488,96.38086362224293,33.96241068654862,11.152531842187015,ARKK
