Ticker,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema21,ema21_dist,ema60,ema60_dist,sma30d,low_52w,dist_from_52w_low,perf_52w,avg_dollar_vol,r_squared,r_squared_15d,slope,sma30w_dist,atr_dist_50sma,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
ATEX,0.8742515050519546,0.4166665904945995,0.07299856666154604,0.052621164936871856,0.02484593530473055,53.209999084472656,45.8941806543586,0.15940623246357638,39.804966016446514,0.33676785611341775,42.83166643778483,17.989999771118164,1.9577542946886541,0.8657082128477985,14650332.390843581,0.7638236407079806,0.9209764712337427,0.26181954557445186,0.7675685443001153,6.39,0.6349206349206349,36,True,True,48.74999923706055,44.6589994430542,42.83166643778483,40.98949989318848,0.625,0.125,-0.13497233218297858,0.030335924811368955,0.0537744508823109,0.046635844980089984,2.3682406038043755,1.0613005756585794,0.7644961628359804,89.76077134097144,94.51347426173956,99.02372115539777,80.5026625786671,79.33274164918508,99.17702113926093,76.24657092141359,97.61174761981604,21.898095852832014,5.514765208972084,0.9924156850088752,19.513474261739553,23.664676456349845,99.17702113926093,37.356785541391,2.4043892205906086,Other
GRND,0.34995122556943586,0.15179321795173023,0.0021771180861292496,0.0014503595227700291,0.023721323493544496,13.8100004196167,13.245048678808224,0.0426538063021531,12.709353514909475,0.08660132896736594,12.911999893188476,9.850000381469727,0.40203044515578973,-0.43517382459351633,14795313.949980259,0.8827863915077252,0.5356911794287369,0.052223498004555884,0.0797779824111923,3.19,0.6031746031746031,29,True,True,13.564999866485596,13.264999866485596,12.911999893188476,12.549199943542481,0.75,0.0,-0.08457247472630168,0.02679386364670427,0.03312569895754746,0.03149374920122256,1.7972647408985525,1.6651519342474415,0.2708986766783842,89.18972890108117,88.3128933354849,94.36420848797806,80.5026625786671,90.6648378247539,99.62885267064708,82.8868807487494,90.30175891560432,24.393053090204937,11.715346135226724,5.651928352428595,19.513474261739553,9.936259480393739,99.62885267064708,52.646441826690335,9.714377924802324,Other
CURR,1.9930553968857898,0.36392399547879917,0.2639295701746615,0.23850572389566638,0.11082469475663485,4.309999942779541,3.362360108057101,0.28183769860094565,2.8459403294095202,0.5144379164386015,3.1773333470026652,0.36000001430511475,10.97222158754316,2.420634901112109,774928.6738276482,0.910678663966669,0.5738761368689584,0.03123895971021528,0.7776860998126476,9.3,0.6666666666666666,38,True,True,3.519000005722046,3.3830000162124634,3.1773333470026652,2.8416000032424926,0.875,0.0,-0.13239437603472826,0.07914199279838531,0.07711125538715372,0.05555187342715451,2.2853163609135154,2.4161147248800012,1.817783391783432,89.0271502339842,92.60125867355171,99.67726319186704,80.5026625786671,84.61352267226077,71.01823462965952,91.02791673390351,99.53203162820719,19.84851541068259,7.426980797159916,0.338873648539616,19.513474261739553,17.08487978053897,71.01823462965952,53.00952073583993,0.48410521219945135,Other
KGS,0.42180132757023775,0.16379588274260176,0.02524067266458326,-0.008885823261689841,-0.01582639858071894,70.2699966430664,65.73076092598832,0.06905801261283412,58.7944249690365,0.1951812893837027,63.246333567301434,29.950620651245117,1.3461950074862679,1.0588789602094906,82052973.98868942,0.9196725115969363,0.9457112090296073,0.3069066856680195,0.5136486125484687,5.48,0.6507936507936508,26,True,True,68.26300048828125,65.52800025939942,63.246333567301434,60.509600143432614,0.75,0.125,-0.06808801744948527,0.06442354238702343,0.03018268097362627,0.029417138364099465,2.622292362194393,1.6073884375154701,0.3385412683679528,88.96522510892368,92.58512183314507,91.20138776827497,80.5026625786671,92.85944812005809,81.31353880910119,87.61497498789737,92.41568500887526,21.754679683717928,7.443117637566564,8.814749072131677,19.513474261739553,13.893819590124252,81.31353880910119,46.69194771663708,7.6004518315313865,OIL AND GAS EQUIPMENT AND SERVICES
RELY,0.7517294784464477,0.33274856182012363,0.0,-0.040016801379525666,-0.0396122479916575,22.790000915527344,20.984862502170905,0.08602097884461692,18.281333398693416,0.24662684162612375,19.258333333333333,12.199999809265137,0.8680328911333067,-0.05670525416131212,83181148.845335,0.6962329033335477,0.8602920122423694,0.13263632913338974,0.4645588711106227,6.7,0.6349206349206349,30,True,True,22.456000137329102,20.89949998855591,19.258333333333333,18.10550003051758,0.75,0.25,-0.146188834242181,0.06285760119724612,0.0389971651227655,0.0385977440752156,1.9637310019511625,2.0910149175498125,0.6491489721171385,88.37239793448441,91.38292722284976,96.92593190253348,80.5026625786671,81.53945457479425,82.47539131837986,87.55042762627077,96.78876875907697,24.885831854122962,8.645312247861868,3.0902049378731644,19.513474261739553,35.76730676133613,82.47539131837986,53.985799580442155,3.2273680813296757,Other
DELL,0.9081576688852255,0.2729113456393162,0.0956368952687444,0.06448777956693594,-0.03572026243838897,230.27000427246094,205.70764626948207,0.11940420518351358,177.43571878735867,0.2977657815809881,195.02457784016926,94.4735107421875,1.4374028493643458,1.429550016517941,1250576277.2714043,0.9453583414861372,0.4359351911376946,1.8199586773065193,0.5519970204679412,6.9,0.5714285714285714,26,True,True,215.9800003051758,205.90641250610352,195.02457784016926,177.75221633911133,0.875,0.0,-0.10803753526531722,0.03432543755532308,0.043719764467725235,0.04281976049993373,1.6009016942816645,0.7919245532210692,0.7964167966564861,87.8723575923834,96.88155559141521,85.66241729869292,80.5026625786671,88.53477489107632,98.06357915120219,58.56866225593029,97.83766338550912,21.192109085041146,3.146683879296434,14.353719541713733,19.513474261739553,13.163627561723414,98.06357915120219,33.26609649830563,2.178473454897531,DATA CENTERS
LINC,0.687715265614547,0.09592436964832077,0.07744925837551123,-0.021956124974862677,-0.020000033908420138,44.099998474121094,41.38237928312253,0.0656709265652814,37.81293560519111,0.16626751581982102,41.09799995422363,17.799999237060547,1.477528110355339,1.1918487392966415,17390729.81204033,0.7601519475122801,0.36485327601557827,0.22644584977315502,0.49230156507340733,2.75,0.6031746031746031,29,True,True,41.62599983215332,41.095499992370605,41.09799995422363,39.65480003356934,0.625,0.25,-0.08278608887958475,0.056552769642665916,0.04170912743083334,0.04078960652514679,1.4118555146416207,1.6387135812720377,0.5888834033797541,87.47639987090527,88.67193803453283,94.36420848797806,80.5026625786671,87.15910924640954,86.94529611102146,76.92431821849281,96.17556882362433,25.45889139906406,11.356301436178796,5.651928352428595,19.513474261739553,26.391802485073423,86.94529611102146,58.07648862352751,3.8405680167823144,Other
INSW,0.52266891553085,0.20320218781931232,0.059196628513719735,0.02372578106676764,0.051416623932745334,90.18000030517578,80.73826802268627,0.11694246747820404,72.91599692144845,0.23676564968762118,77.60899937947592,33.51987075805664,1.6903445110539588,1.6682928403959885,44715814.75546265,0.8020062363646949,0.9193532210642968,0.3530054178472308,0.4917335502685861,5.77,0.6031746031746031,27,True,True,84.0269989013672,79.74599876403809,77.60899937947592,74.4973836517334,0.75,0.125,-0.13843130521152025,0.04456064894128194,0.03839712044451857,0.03645329190679038,0.9951494939703255,2.2192530334976457,0.4335020948265595,87.12723898660641,92.54881394223011,91.48781668549299,80.5026625786671,82.53187025980313,94.28755849604647,69.65467161529773,94.17460061319993,27.024971760529287,7.4794255284815225,8.528320154913668,19.513474261739553,24.221397450379218,94.28755849604647,73.02727126028724,5.8415362272067135,ENERGY SHIPPING
LGN,0.9938613581149978,0.6307950199398535,0.0815250693288775,-0.019520978724367963,-0.04722787093185668,97.44000244140625,81.57926131471412,0.19442123979898548,66.68417812255485,0.46121621627137865,72.4814998626709,29.719999313354492,2.2786004270741085,2.1947541784067623,148147321.65600052,0.7049848170055061,0.8730612582761976,0.6672319135358256,0.8678773648637862,10.25,0.6984126984126984,30,True,True,89.07050018310547,80.52624988555908,72.4814998626709,64.64769996643066,0.75,0.0,-0.15882855343983512,0.08848351033063227,0.05102912374869341,0.04948540513685708,3.2424449700919022,1.0055278695027001,0.8771017156117084,86.41984024527999,95.00161368404068,97.69646603195093,80.5026625786671,79.56269162497982,65.1121510408262,76.56930772954655,98.37017911892852,17.67609327093755,5.02662578667097,2.3196708084557045,19.513474261739553,21.03840568016782,65.1121510408262,33.128933354849124,1.6459577214781345,ENGINEERING & CONSTRUCTION
NTCT,0.3838092088887271,0.16916033329854485,0.12683935936884833,0.0704501097431974,0.07798424611670375,38.290000915527344,33.93687189455613,0.1282713691025103,31.91818145642547,0.1996297773982095,33.23133347829183,20.770000457763672,0.8435243173629698,0.7759741124304196,18568057.084126282,0.8798012411496043,0.5897383582219551,0.11067060299915835,0.30934337424309305,6.98,0.6666666666666666,28,True,True,34.47799987792969,33.651500129699706,33.23133347829183,32.06159996032715,0.875,0.0,-0.05035246572342869,0.10251693268931501,0.025683693211297244,0.027851352709579277,1.6404066997160323,1.814711811377854,0.30277395141457697,86.39301274810393,90.5599483621107,95.3485557527836,80.5026625786671,95.51395836695175,56.91463611424883,82.15265451024689,91.41520090366306,19.045505889946746,9.468291108600937,4.667581087623043,19.513474261739553,6.184444085847991,56.91463611424883,55.72050992415685,8.600935936743586,Other
