Ticker,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema21,ema21_dist,ema60,ema60_dist,low_52w,dist_from_52w_low,perf_52w,avg_dollar_vol,r_squared,r_squared_15d,slope,sma30w_dist,atr_dist_50sma,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
ADEA,0.908490592689617,0.3100896364691596,0.11247110742190186,0.05588699106205063,0.019090941458037407,33.630001068115234,29.286774427190302,0.14829993148349627,25.154125398954292,0.3369576773086017,11.665596008300781,1.8828360800584423,1.7601777979825683,39829244.54809809,0.9560929798849308,0.885745139571078,0.2355858471170183,0.7001627882961087,10.44,0.6507936507936508,29,True,True,31.017999839782714,29.15599994659424,27.652999941507975,25.235110244750977,0.875,0.125,-0.0835974892823102,0.08368590128550704,0.03343986013000938,0.031861657928210614,2.5647813193021465,2.614404599237925,0.8277982602096652,90.13709677419354,96.24193548387098,96.79838709677418,80.41935483870968,91.94354838709677,65.38709677419355,93.49193548387098,98.14516129032258,18.555443548387096,3.786290322580645,3.217741935483871,19.596774193548384,14.201612903225804,65.38709677419355,53.30645161290323,1.870967741935484,Other
KGS,0.6397408306535539,0.16970108289699976,0.0208364474400356,0.004424711045134731,-0.006419644521868834,68.0999984741211,64.04097287818037,0.06338169789615562,57.52613502120683,0.18380973185520366,29.950618743896484,1.2737426246994954,1.0700642053644005,69845030.3254898,0.9044377504212768,0.9616594732572628,0.3132603172149892,0.46919497820568656,5.63,0.6507936507936508,25,True,True,66.17900047302246,63.88850021362305,62.05200017293294,59.34120010375977,0.75,0.125,-0.06808801744948527,0.042456991609234565,0.02781263335145092,0.026211448090003364,2.274869700566321,0.8878101317381376,0.5704114282478656,89.2352822580645,93.79838709677418,89.93548387096774,80.41935483870968,93.18951612903226,94.8225806451613,71.41129032258064,96.30645161290322,21.054637096774194,6.22983870967742,10.080645161290324,19.596774193548384,12.088709677419354,94.8225806451613,33.79032258064516,3.7096774193548385,OIL AND GAS EQUIPMENT AND SERVICES
OOMA,0.5578764121061695,0.22351329313125695,0.09748621732992935,0.09681372262568984,0.009588273022171934,17.899999618530273,15.802464609664966,0.1327346752975755,14.375198331550363,0.245200184768495,10.579999923706055,0.691871431721155,0.41838350085985604,4058860.5937604904,0.8751785814540842,0.8218958828643744,0.08617751362136981,0.40168617814894725,7.26,0.6349206349206349,27,True,True,16.461999797821044,15.547999906539918,15.15833330154419,14.433399982452393,0.625,0.25,-0.06344828112372036,0.06876749727899871,0.03453174901679276,0.03306304441922793,2.8479985196151,1.3151347485479874,0.49200829523419404,88.64415322580643,92.33064516129033,93.87096774193549,80.41935483870968,90.49596774193549,75.82258064516128,87.24193548387098,95.37096774193549,21.591129032258067,7.69758064516129,6.145161290322581,19.596774193548384,21.43951612903226,75.82258064516128,45.42741935483871,4.645161290322581,Other
RELY,0.9223929593084821,0.4669958068920594,0.10041647454903253,0.08634085654158735,0.043440093521174665,23.780000686645508,20.18896195268223,0.17787139043501862,17.741147366206462,0.3403868529913641,12.199999809265137,0.9491804146247679,0.13292048337067308,68364347.31838036,0.6902357744646268,0.9027776471299334,0.1241520258230365,0.5249455151225515,10.74,0.6507936507936508,31,True,True,21.65,19.876000022888185,18.532666651407876,17.675100021362304,0.5,0.125,-0.146188834242181,0.04402261735349095,0.03528318731670583,0.032154876612845926,6.171830307598886,1.1848057153017575,0.8411128249322227,88.55887096774192,92.3991935483871,98.50806451612902,80.41935483870968,71.45564516129033,93.80645161290323,86.9516129032258,98.25806451612902,22.172983870967744,7.629032258064516,1.508064516129032,19.596774193548384,23.370967741935484,93.80645161290323,40.37903225806451,1.7580645161290325,Other
MTCH,0.32903146284051493,0.19505321885100693,0.031203533657760383,0.020042758864227354,-0.012929920446738854,38.16999816894531,35.49827653791785,0.07526341815985439,33.31460570886393,0.1457436567766288,26.5495662689209,0.4376882010922856,0.28964910805283467,114241790.30131607,0.5789650834890883,0.8995759719174813,0.10461973200928415,0.17866531342229586,6.63,0.5873015873015873,26,True,True,37.00349922180176,35.32624979019165,33.75560010274251,32.57898021697998,0.75,0.125,-0.0874501626009557,0.03337382260406547,0.026729852003060932,0.0258898157643475,2.2973743024968742,1.1960980533658092,0.27283907232696913,87.40383064516129,85.17338709677419,89.02016129032259,80.41935483870968,90.56048387096774,98.14516129032258,82.7983870967742,90.16129032258064,25.810282258064515,14.854838709677418,10.995967741935484,19.596774193548384,14.717741935483872,98.14516129032258,45.0,9.854838709677418,INTERNET B2C
POWL,0.7876611731981032,0.4457476994548121,0.05630777424443439,-0.02640017707174102,-0.01954009598523079,269.95001220703125,241.62794019741835,0.11721356390520396,204.90861837657454,0.31741658474767376,56.396202087402344,3.786670063148314,3.2351159286310747,166903734.55988464,0.5905355490373242,0.8815425526899585,1.3915320578075592,0.6913024769266832,6.18,0.5714285714285714,31,True,True,258.07999725341796,243.54649810791017,222.98322092692058,203.1807995605469,0.625,0.125,-0.18387150745813027,0.041189337725008435,0.05578875024246074,0.053195019823464626,1.3153691508668324,2.118260633568019,0.7120775940587839,87.19798387096775,92.0,93.38306451612902,80.41935483870968,73.27016129032258,95.33870967741936,78.58064516129032,97.45161290322581,26.676209677419358,8.028225806451614,6.633064516129033,19.596774193548384,28.806451612903228,95.33870967741936,66.23387096774194,2.564516129032258,ELECTRIFICATION
LGN,0.840716954147815,0.6592848685591323,0.13440061535070502,0.05117300626135011,0.014595731434476886,91.41000366210938,75.60405715839522,0.20906214689774794,63.21420378690903,0.44603583033722216,29.719999313354492,2.0757067891665417,1.9970493003970287,164414098.90160292,0.6968166680431637,0.92443332444023,0.553752416839248,0.7590630218458871,10.51,0.6984126984126984,30,True,True,82.86050033569336,74.1952501296997,67.8841667175293,61.922300033569336,0.625,0.125,-0.15882855343983512,0.046357418643259,0.04873776455203159,0.04531069890339993,5.7983276973778475,0.5662194218553238,0.7628901390539794,86.98810483870967,94.68951612903226,98.05241935483872,80.41935483870968,76.92338709677419,92.56451612903226,59.67741935483871,97.8225806451613,19.139314516129026,5.338709677419355,1.9637096774193548,19.596774193548384,25.153225806451612,92.56451612903226,13.21774193548387,2.193548387096774,ENGINEERING & CONSTRUCTION
GRND,0.3012392675271979,0.1403508198850253,0.015625003326152156,0.020942388583983364,-0.009433970751818573,13.649999618530273,13.095249769632645,0.042362677967706375,12.605080270398897,0.08289668337814632,9.850000381469727,0.38578670963396916,-0.40236429389937384,13212366.213360215,0.8831803280409588,0.6799764869390685,0.05321764112800681,0.06771306254404975,3.02,0.5714285714285714,28,True,True,13.437999820709228,13.037499856948852,12.780333232879638,12.401199951171876,0.875,0.125,-0.08457247472630168,0.030839193907094907,0.033403604640427076,0.03330717374501297,1.5910642000799797,0.9526846781085211,0.24622195069395214,86.97842741935486,88.08870967741936,90.60080645161291,80.41935483870968,91.80645161290323,98.72580645161291,67.61290322580646,88.98387096774194,24.8125,11.939516129032258,9.415322580645162,19.596774193548384,14.338709677419352,98.72580645161291,43.49193548387097,11.032258064516128,Other
ADTN,0.9305263318513569,0.4184067842014302,0.13490101025742834,0.036743900446970804,-0.005962092455438859,18.34000015258789,16.15202461314731,0.1354613797244728,13.520778833210615,0.35643074846694417,7.25,1.5296551934603988,1.32151897863172,45956854.5389822,0.8536583202878022,0.4418996263017052,0.1453158626083954,0.7046194027020781,8.61,0.5873015873015873,31,True,True,17.229000282287597,16.32000002861023,15.095000012715657,13.206799983978271,0.75,0.125,-0.10289985696668928,0.09332170661146168,0.046615970170225104,0.04512775239185944,1.3391349978523872,1.5598167512212517,0.8489023127297776,86.8875,95.63306451612902,95.24193548387098,80.41935483870968,88.59274193548387,58.854838709677416,76.25,98.30645161290322,19.56048387096774,4.395161290322581,4.774193548387097,19.596774193548384,16.68548387096774,58.854838709677416,62.46774193548387,1.7096774193548387,Other
IAC,0.22744562786445677,0.12727722767564315,0.02472768358922151,0.013689335207694251,0.004447341401229796,45.16999816894531,43.27955153583186,0.04367990346545813,40.718617431781325,0.10932052751107496,31.520000457763672,0.43305829673043417,0.27779349699302563,47098504.9551033,0.8823393081380568,0.4376532981273457,0.16383449419669116,0.1887988756185705,5.25,0.5873015873015873,24,True,True,44.58100051879883,43.36150016784668,42.04533322652181,40.26639976501465,0.75,0.125,-0.06874996825404724,0.04488456084036135,0.023075786417318434,0.023209120267242842,1.5279423733186355,1.635071667170072,0.17554835832375765,86.85887096774194,88.8508064516129,84.17741935483872,80.41935483870968,93.09274193548387,93.38709677419355,81.04032258064515,85.5,26.637500000000003,11.177419354838712,15.838709677419354,19.596774193548384,12.18548387096774,93.38709677419355,59.096774193548384,14.516129032258066,INTERNET B2C
