Ticker,6m_return,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema9,ema9_dist,ema21,ema21_dist,ema60,ema60_dist,sma30d,low_52w,dist_from_52w_low,perf_52w,avg_dollar_vol,ipo_vwap_dist,r_squared,r_squared_15d,slope,sma30w_dist,ema21w,sma30w,atr_dist_50sma,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,gain_from_60d_low,pct_from_60d_high,consolidation_range_10d,vol_contraction,htf_score,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
BOX,0.47543861909292856,0.3981712442374248,0.07099648370167246,0.0120336248791697,0.024672479848220838,0.03987638257724497,33.63999938964844,32.5599926074545,0.03316974899885809,31.46480923029788,0.06913088661780403,0.0,0.0,30.74133326212565,21.3700008392334,0.5741693059687871,0.08411210587327522,78350381.77640685,0.20121240065054966,0.7823031199922672,0.6910045938527916,0.13461789410967617,0.2882472108090949,28.268003689540524,26.112999979654948,5.05,0.6825396825396826,32,True,True,32.4060001373291,31.477000045776368,30.74133326212565,28.8103999710083,0.75,0.25,-0.15387287823205814,0.0031726978670418445,0.03623181720754271,0.03320027170727696,2.5608361764958856,0.8969127663112904,0.3413145801681185,0.3982,0.0,0.0758,0.9748,53.6,86.0725457170356,83.5097850497273,99.06159769008661,81.30413859480271,76.62415784408086,98.10715431504651,76.55598331729226,91.80301572024382,27.68707892204042,16.506256015399423,0.9544433750401026,18.711902470324027,41.349855630413856,98.10715431504651,37.76066730830927,8.213025344882901,Other
CAKE,0.9300430650105229,0.9248914385504523,0.3465691828190366,0.047946457047861345,-0.010436939064714218,-0.0461250202053087,111.87999725341797,108.65361156017349,0.02969423332474941,100.20252714411788,0.11653867863536796,0.0,0.0,92.28519719441732,42.60901641845703,1.6257352705507346,0.7977350331005427,202850602.6135292,0.752807821617775,0.9033063174030371,0.872403382850343,0.8087300388128162,0.6099030798238715,79.31334096284006,69.49486503601074,7.93,0.6825396825396826,30,True,True,108.3225341796875,98.65589332580566,92.28519719441732,84.9056167602539,0.875,0.125,-0.046653318919009465,0.14312690339669887,0.03654169940155514,0.040084498672444915,2.1180079168134065,1.038266550016765,0.846615686318659,0.9186,0.0461,0.1376,1.2585,53.5,85.94622232916265,97.20484440166827,98.03897978825793,81.30413859480271,93.13041385948026,30.702598652550527,78.84985563041386,98.18735964068014,13.763033365415463,2.8111966634584533,1.9770612768687843,18.711902470324027,14.994385627205649,30.702598652550527,44.546037856913706,1.8286814244465832,RESTAURANTS
BOBS,-0.013204683688662977,0.643824095332579,0.17686250974035914,0.08729711206937497,0.058855580449832835,0.058855580449832835,19.43000030517578,18.23269109433531,0.06566826611856894,17.324311956041686,0.12154528009406781,0.0,0.0,16.66566667556763,9.850000381469727,0.9725887870754188,0.14159810708540777,20555414.46878185,0.29966420904219626,0.8623419438388467,0.7865443594382501,0.10939612261344396,0.0,0.0,0.0,4.72,0.6349206349206349,28,True,True,18.198000144958495,17.07800006866455,16.66566667556763,15.542400016784669,0.75,0.125,-0.12352943073919434,0.04850139502638171,0.05263143281926976,0.0530291783808059,4.458617630752172,0.6639766689305262,0.5769779527284012,0.6823,0.0,0.142,1.1774,54.6,85.72545717035612,90.1106833493744,95.26387552133463,81.30413859480271,80.47401347449471,81.36028232274623,68.77606673083093,96.27847289059993,20.90832531280077,9.905357715752327,4.752165543792107,18.711902470324027,26.535931985883863,81.36028232274623,24.222008341353867,3.737568174526788,SPECIALTY RETAIL
HBT,0.3136985420665944,0.3646720709937182,0.12251328850029601,0.031106508219156368,0.02846097355842332,0.020844820496831375,37.220001220703125,36.10192725921527,0.030969924499043344,34.977914051392716,0.06410008229810765,0.0,0.0,33.937926801045734,22.356233596801758,0.6648600963816979,0.5168899170428964,4310744.829349518,0.2857859900821135,0.9417414656301886,0.535080399610574,0.15255755854458672,0.27195747774582285,31.159664939915444,29.261985460917156,6.27,0.6666666666666666,21,True,True,36.054408645629884,34.918385887145995,33.937926801045734,32.45584674835205,0.5,0.0,-0.03878116638256177,0.008581954501635989,0.02500340010909684,0.02341013910566668,1.9191294005708848,1.1844292952586453,0.30917765153326576,0.3831,0.0,0.0451,0.9148,56.6,85.61798203400704,89.69361565607956,79.59576515880654,81.30413859480271,81.99390439525185,96.29451395572666,80.55020853384664,90.76034648700674,24.996791786974654,10.32242540904716,20.420275906320178,18.711902470324027,7.282643567532884,96.29451395572666,48.989412897016365,9.255694578119988,Other
YEXT,0.1441947488621987,0.7211268212913032,0.12110098116466911,0.06631764627853565,0.07005255563837806,0.06631764627853565,6.110000133514404,5.7505371896222846,0.0625094546890028,5.521146840526931,0.10665416262163285,0.0,0.0,5.404666678110758,3.3399999141693115,0.8293414043497115,-0.23815464030308292,4687490.444520617,0.06156808429337093,0.8909139325696613,0.5186748263221265,0.04055155651177496,0.27335883043502074,5.049067560628977,4.798333342870077,6.16,0.6825396825396826,36,True,True,5.719000053405762,5.522000050544738,5.404666678110758,4.878000020980835,0.75,0.125,-0.17647062184549894,0.0629744619720768,0.04093120782100919,0.040974994055701514,2.9610782338519797,1.100527021087753,0.6511371616540067,0.7019,0.0,0.1064,0.5865,64.1,85.2967597048444,86.93054218800128,99.7433429579724,81.30413859480271,74.20195700994546,71.96021815848572,83.64613410330446,97.16073147256978,22.787135065768368,13.085498877125442,0.2726981071543151,18.711902470324027,32.80798845043311,71.96021815848572,42.65319217196022,2.855309592556946,Other
TTEK,0.024318306775519345,0.3904579864252109,0.137371267360863,0.027934585689309042,0.029677761598679412,0.02619719169509243,36.43000030517578,34.995651948040674,0.040986473384314624,33.61862733460422,0.08362545390655399,0.0,0.0,32.59233334859212,26.18000030517578,0.3915202398975365,0.024014721938128314,84214022.7795845,0.11257694156907586,0.8886784708290615,0.8336813395952264,0.14204157122086083,0.1393366596180271,31.717909915556465,31.974746004740396,7.78,0.5555555555555556,21,True,True,34.8120002746582,33.37150001525879,32.59233334859212,30.816200027465822,0.625,0.0,-0.04558223977880233,0.002954851106799906,0.02705206832721353,0.02341085122423494,2.179563120963342,0.9069393868636373,0.3339149821526689,0.3915,0.0,0.1093,0.7661,53.9,85.19068816169394,89.31264035931987,72.76628168110362,81.30413859480271,88.43840230991339,98.17131857555341,75.11228745588707,91.57844080846968,25.489252486365093,10.703400705806867,27.2497593840231,18.711902470324027,8.373435996150144,98.17131857555341,40.02245749117742,8.437600256657042,ENGINEERING & CONSTRUCTION
PRGS,0.25434659937281073,0.6690298811792937,0.10855021644980718,0.0441176326544496,0.03661640696373624,0.026388197862859276,44.72999954223633,42.84225424181891,0.044062697769408396,41.08537257337879,0.08870862646671161,0.0,0.0,40.22399978637695,25.09000015258789,0.7827819557674528,-0.004894354103871616,18777587.534645654,0.18361354194830573,0.8350382295971231,0.7956717436163593,0.25744767818949005,0.2830220957353767,36.6809469963583,34.86300017038981,4.57,0.5873015873015873,28,True,True,42.534000396728516,41.06199989318848,40.22399978637695,36.7439998626709,0.625,0.125,-0.21687428973943632,0.00452135390604235,0.05743955976622241,0.04760307537872819,1.8796274287870214,0.8960238097343765,0.6011587447452139,0.669,0.0,0.0981,0.5135,65.1,85.1457731793391,89.52117420596727,92.80157202438242,81.30413859480271,66.41401989092076,97.65800449149825,72.6018607635547,96.61533525826115,26.30193294834777,10.494866859159448,7.214469040744305,18.711902470324027,36.8423163298043,97.65800449149825,41.57042027590632,3.400705806865576,Other
TXG,2.3209594954752486,1.7021375598949116,0.30732918444979124,0.11762450298225312,-0.005642920980515494,0.006926433348552489,58.150001525878906,53.94874430926665,0.07787497689525677,49.58461291264843,0.17274287546259232,0.0,0.0,46.745666631062825,11.34000015258789,4.127866026757376,3.3919941488766305,154834104.64567184,1.4691035199704325,0.9477741563701977,0.6714441611522871,0.531286472732204,1.004550354731295,36.31257089807042,29.009000142415363,6.46,0.6190476190476191,34,True,True,52.01799964904785,49.221999931335446,46.745666631062825,41.262500038146975,0.75,0.0,-0.1391044730570779,0.10401679806025872,0.06740899073731899,0.06339515470014456,1.904368579090497,0.9263640774844616,1.5922550772267792,1.6088,0.0072,0.2214,1.3409,66.2,85.11930542188001,97.42139878087906,98.31969842797562,81.30413859480271,78.38867500802053,47.27301892845685,74.03753609239654,99.31023419955085,16.096406801411614,2.594642284247674,1.6963426371511068,18.711902470324027,22.1767725376965,47.27301892845685,42.62111004170677,0.7058068655758742,ARKK
NTNX,0.652078657515969,0.49209476465060675,0.216651724345665,0.08425082070471893,0.056436524730115505,0.05104401151548803,67.94999694824219,63.36535988721112,0.07235241887983616,60.09900484991046,0.13063431113274793,0.0,0.0,57.6559996287028,34.40999984741211,0.9747165722045924,-0.009619642271360024,147331571.75057754,0.2922960605286877,0.7033569536807978,0.8864679624220364,0.25570515205600114,0.4622021708616296,52.73813176012287,46.47099990844727,7.6,0.6507936507936508,29,True,True,62.669999313354495,59.34199962615967,57.6559996287028,54.50139991760254,0.75,0.25,-0.1682476801662708,0.06289265509482708,0.03279702518904058,0.03245768978041554,2.387285688959197,1.2929542226711797,0.43141869858004445,0.5205,0.0,0.1316,0.6721,56.5,85.11689926211099,88.05742701315367,96.74366377927495,81.30413859480271,75.12431825473212,72.0725056143728,85.16201475777991,94.03272377285852,25.310996150144373,11.95861405197305,3.2723772858517806,18.711902470324027,42.849695219762594,72.0725056143728,47.906641000962466,5.9833172922682065,SOFTWARE
CERT,0.22188898430397933,0.7678957445749949,0.11950540984185316,-0.006097584377790879,0.0024599635679993827,0.01747807561148857,8.149999618530273,8.023987142200804,0.015704471367698,7.6944481522075545,0.05920521619110789,0.0,0.0,7.451000038782755,4.480000019073486,0.8191963356767538,-0.25706477482724105,28104997.018468,0.08695808637756548,0.8991914669822725,0.48840026672491305,0.05945228612459565,0.2374733770142044,6.929485858287254,6.585999965667725,4.24,0.5555555555555556,27,True,True,8.046000051498414,7.718000054359436,7.451000038782755,6.722600021362305,0.625,0.0,-0.15359478346372338,0.04497753475638754,0.06014603618897665,0.05002629249287937,2.711025402052461,1.273358444027319,0.6960042256547362,0.8192,0.0061,0.0512,0.7697,67.6,84.99418511389155,88.03336541546359,87.55614372794354,81.30413859480271,72.91466153352583,83.52582611485403,86.18864292589028,97.48155277510426,24.49230028873917,11.982675649663138,12.45989733718319,18.711902470324027,23.897176772537694,83.52582611485403,46.30253448829002,2.5344882900224572,AI DRUG DEVELOPMENT
