Ticker,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema21,ema21_dist,r_squared,slope,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
DSGN,0.2589453888544207,0.29679916017463615,0.06874497529518545,0.0159574498922406,0.006019557858215395,13.369999885559082,12.165131773948202,0.09904275054308262,0.5431990267532996,0.040701325862638416,0.6190476190476191,27,True,True,12.784000015258789,12.023999977111817,11.467000039418538,10.987999992370606,0.75,0.125,-0.08933459180088742,0.05134398930687114,0.049766313347378126,0.05075329113681943,2.1807081277719638,1.53673187024919,0.21627335939736328,87.00457684278143,83.61972057170388,93.88148386060703,80.44403404528666,90.44885177453027,86.57459450778866,87.45784486911836,89.80247310101173,25.097559017183233,16.408382848883893,6.134575236871688,19.572025052192068,14.750281034205877,86.57459450778866,52.481130560462496,10.213585996467,Other
TIGO,0.40766442559559884,0.13558224102361055,0.01575862333140781,-0.0033560922722363287,-0.004370446823169973,83.1500015258789,78.9145235336955,0.05367171722673976,0.9233993455610763,0.38924225409459406,0.6507936507936508,32,True,True,82.06649932861328,78.81126976013184,76.24276606241862,72.49722610473633,0.875,0.0,-0.0781105388343512,0.07940855212634987,0.035304778592777156,0.03459034123660646,1.2470516012095876,1.207614210825104,0.35995155546917823,86.37104544724585,91.82993415770034,98.93608479203468,80.44403404528666,92.62485948289707,62.63048016701461,69.19865103581179,94.2990203950538,19.602537337401635,8.198169262887426,1.079974305444034,19.572025052192068,8.599646699855468,62.63048016701461,63.30496226112092,5.717038702424924,Other
ATEN,0.5883027404827701,0.23327384141119298,0.04260931905209665,0.01579721954529284,-0.0021652640896694803,27.649999618530273,24.986138463708215,0.10661355930174062,0.8775112447629514,0.14376542535245695,0.6190476190476191,31,True,True,26.083999824523925,24.84300003051758,23.72166659037272,22.261932258605956,1.0,0.0,-0.09240284749265013,0.08020695836534089,0.03238313529367456,0.03283390099333989,1.6030974617139342,0.8298440144405463,0.5344671238399554,86.23173277661796,93.86542476312832,97.65135699373695,80.44403404528666,91.00690541191585,61.98811626786574,65.22402440982816,96.78818050425566,17.258511321663722,6.16267865745945,2.3647021037417697,19.572025052192068,10.309940581339328,61.98811626786574,43.592420105990044,3.227878593223061,CYBER SECURITY
DELL,0.8376218311109346,0.21708298974642357,0.11509743080472366,0.0542212723001757,0.010783543414725278,214.64999389648438,183.74052252063026,0.16822348685975688,0.9092978614690523,1.5110011346146077,0.5873015873015873,30,True,True,192.70885162353517,183.11198654174805,174.03355611165364,156.5737626647949,0.875,0.0,-0.10803753526531722,0.05087126458581894,0.04514181485600186,0.04098620131069559,0.9001993492312463,0.6988625566130583,0.7753355289390418,85.9964669985547,95.9611369841015,94.81291151437289,80.44403404528666,88.81082383170066,87.00819013971415,38.62212943632568,98.32985386221294,21.02898667094909,4.066966436486269,5.20314758310583,19.572025052192068,12.413682351051872,87.00819013971415,55.644772763770675,1.6862052352657781,DATA CENTERS
SRZN,0.651912847859787,0.321199951171875,0.08937991793368213,0.024186008660368217,0.062057825535497324,33.029998779296875,29.4453507354345,0.12173901666413556,0.7211007354708673,0.143533748415758,0.5396825396825397,31,True,True,30.764000129699706,29.13350009918213,27.984499994913737,27.36700004577637,0.5,0.125,-0.12587413753330606,0.06776119277596816,0.0753679929944669,0.06613013722813373,4.095971163748713,1.766254637050977,0.5959211628125847,85.96013329050906,92.123012686687,88.32905090733901,80.44403404528666,75.12847277982976,72.42652962903485,93.71286333708045,97.30207162357476,22.027260317970132,7.905090733900755,11.687008190139714,19.572025052192068,19.736630801348966,72.42652962903485,48.87586317648948,2.7139874739039667,Other
ORKA,0.96115965941935,0.7463658556499488,0.03891457614771655,0.011761253467264449,0.009855076886605526,69.68000030517578,59.09250505803292,0.17916815739568343,0.7214413478124349,0.5782152586452058,0.5714285714285714,26,True,True,66.071000289917,58.5875,52.0400000890096,44.57479999542236,0.75,0.0,-0.11567686023670234,0.0845325903471864,0.06365391861710651,0.055959913863673126,3.172802896062743,0.907051495064134,0.894686035148097,85.83848562710776,95.42717199293399,88.10823831700658,80.44403404528666,86.94796852416894,58.487233017504415,79.17135057009796,98.90798137144692,17.53834109523045,4.600931427653766,11.907820780472138,19.572025052192068,13.53781917456239,58.487233017504415,36.75927412879396,1.108077726031797,Other
TSAT,0.7549296064098735,0.26690391355550824,-0.016962536438070497,-0.061039969229451305,-0.02063272253200553,49.84000015258789,44.72854794634736,0.11427717734928039,0.8286746483586269,0.36898138308854694,0.5873015873015873,32,True,True,48.13100051879883,43.583000373840335,41.64666697184245,37.315800170898434,0.625,0.125,-0.20524323560206312,0.05681322793887463,0.07904539790955266,0.07604334041911963,1.1228630168026845,1.335202633554182,0.6954461621534653,85.75477758149994,95.03372410470531,95.78448691183556,80.44403404528666,72.3141159466838,81.94957443391682,67.40003211819496,97.79990364541513,24.6645656014132,4.994379315882448,4.231572185643167,19.572025052192068,30.070660028906378,81.94957443391682,69.18259193833306,2.216155452063594,Other
FORM,0.8046912676022376,0.3851984683663162,0.14489342360892468,0.01492740342085887,0.029146716314669245,146.17999267578125,121.41102522217464,0.20400921092858687,0.7040059527782856,0.8390188074331679,0.6031746031746031,32,True,True,132.81299896240233,117.71700019836426,109.85899988810222,103.76879989624024,0.75,0.125,-0.1967305994009235,0.06992082905849974,0.05921659012607292,0.052865284924489823,2.950357264334305,0.7910621559028518,0.7435211488553933,85.74032439376907,93.96177934800065,97.02103741769713,80.44403404528666,76.34896418821262,70.56367432150313,73.04480488196563,98.16926288742572,19.63465553235908,6.066324072587119,2.9950216797815963,19.572025052192068,28.850168620523526,70.56367432150313,31.6444515818211,1.8467962100529949,SEMICONDUCTORS
ECPG,0.48363574975152224,0.17511974806016364,0.05984760986667851,0.014720276870923449,0.02030585519399847,83.41000366210938,76.1749589276092,0.09497930601283036,0.883451976727294,0.43956796309915014,0.6666666666666666,28,True,True,79.52799987792969,75.37700004577637,72.98366673787434,69.06660018920898,0.875,0.125,-0.09884747004104873,0.07377077824634286,0.031998848328516225,0.032044821119603634,1.3721057545995297,0.7807958413693996,0.43334782703666225,85.49482094106313,93.50810984422677,96.30640757989401,80.44403404528666,90.06343343504095,67.27155933836518,57.92516460574916,95.76039826561747,19.216918259193836,6.519993576361009,3.7096515175847116,19.572025052192068,15.874417857716395,67.27155933836518,45.607836839569615,4.255660831861249,Other
HNST,0.3779527766002862,0.2544803038905469,0.0416666991890433,0.008645524824904915,0.0324483456318166,3.5,3.091716130595856,0.13205735978272268,0.6725896662691133,0.015846294237904464,0.6031746031746031,29,True,True,3.223000001907349,3.039500021934509,2.9486666758855185,2.7648000144958496,0.625,0.375,-0.1860465245223681,0.04201397628028446,0.042106586985765394,0.040142862164244356,3.1420299139308643,0.8781001596111734,0.3312469845984371,85.48659065360526,85.48659065360528,95.23847759755901,80.44403404528666,74.76312831218885,93.81724747069214,78.03918419784807,93.62453830094749,28.415368556287135,14.541512766982496,4.777581499919704,19.572025052192068,50.22884213907179,93.81724747069214,35.723462341416415,6.391520796531235,Other
