Ticker,6m_return,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema9,ema9_dist,ema21,ema21_dist,ema60,ema60_dist,sma30d,low_52w,dist_from_52w_low,perf_52w,avg_dollar_vol,ipo_vwap_dist,r_squared,r_squared_15d,slope,sma30w_dist,ema21w,sma30w,atr_dist_50sma,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,has_9m_vol,max_vol_25d,days_since_9m,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
TXG,2.6503455559286566,1.3782938964976343,0.17953558964853222,0.09481236500142906,0.019319295655757733,0.033293148175881575,68.58999633789062,65.14331971275216,0.05290913389640718,61.906566984876804,0.1079599415462098,0.0,0.0,59.26833330790202,11.34000015258789,5.048500477509938,4.426423613518665,166053855.7039032,1.523409924743825,0.95010123892478,0.1385607187700606,0.6064835298812152,0.9657048950495448,45.15282711388039,34.893333435058594,5.46,0.6349206349206349,34,True,True,63.93499984741211,62.8935001373291,59.26833330790202,53.204800033569335,0.625,0.125,-0.08300964293534661,0.060838496898909,0.05598142632932294,0.0529825351958339,5.325480080424758,0.6956020411960264,1.3022236405174066,False,5995700,99,90.96797931583134,97.97533810660303,99.28798727128083,88.61575178997614,85.3977724741448,89.0533015115354,66.27684964200478,99.45902943516309,16.149960222752586,2.0405727923627683,0.7279236276849642,11.400159108989659,18.369132856006363,89.0533015115354,21.042163882259345,0.5568814638027049,ARKK
DINO,0.9605728669458574,0.5227119925116219,0.17383251457345525,0.02305277100236677,-0.0027742098525157743,0.0011139539159644724,107.83999633789062,105.49233518816764,0.022254329146619387,100.4933736126636,0.07310554378981703,0.0,0.0,95.61427230834961,44.82985305786133,1.405539812916694,1.17878660173325,233866026.96734923,0.7125821985170666,0.8962211376882191,0.8797491716688113,0.665912354596749,0.4791345066867853,83.06613633052318,72.90749816894531,5.13,0.6031746031746031,26,True,True,105.49199981689453,100.29399948120117,95.61427230834961,91.00287506103516,0.625,0.25,-0.11932065146532196,0.03970534224323621,0.03528356911253221,0.036098443853302006,1.4486022472382845,1.2063432196302322,0.47400771284917054,False,4071600,99,90.87430389817027,96.63882259347653,93.56404136833731,88.61575178997614,79.7096260938743,97.85202863961814,79.89657915672235,96.56324582338902,23.61117740652347,3.37708830548926,6.45186953062848,11.400159108989659,32.72871917263325,97.85202863961814,50.493237867939534,3.45266507557677,OIL AND GAS DOWNSTREAM
ATRC,0.827135685712911,0.8944077520370006,0.2540813706735664,0.05861802078669393,0.028474489364310143,0.029833871948044054,54.540000915527344,52.16676250170575,0.045493304548926077,49.16193433454994,0.10939493438926416,0.0,0.0,46.60966657002767,25.860000610351562,1.1090487095230537,0.5551754031972972,44789003.43656464,0.5763371811443804,0.9657828254219412,0.7537379031757134,0.44745871108797847,0.6113688248996653,39.353783140088126,33.847000185648604,7.84,0.5873015873015873,31,True,True,51.66399955749512,49.547499656677246,46.60966657002767,42.01999992370605,0.625,0.125,-0.07654686023075886,0.08474632589211178,0.03902086316385437,0.038006181532065454,1.4661020377065759,1.2344797462654775,0.8338147013460825,False,1880200,99,90.79992044550517,97.89578361177406,96.92919649960223,88.61575178997614,86.45584725536993,75.81543357199682,80.66825775656325,98.77486077963404,18.085719968178203,2.1201272871917265,3.086714399363564,11.400159108989659,17.311058074781226,75.81543357199682,50.803500397772474,1.2410501193317423,Other
CLMT,0.9867086020955884,0.6502034357545986,0.16417294878516867,0.06907581583219238,0.01993177657970358,0.006378465965823042,56.79999923706055,53.8673460102334,0.05444213320385269,50.81183501521615,0.11784979267234061,0.0,0.0,48.33499984741211,17.389999389648438,2.266245039138488,2.266245039138488,57658054.71604099,0.8427694361240448,0.9177515258935401,0.854409473256767,0.3478993776207146,0.5374482097359672,41.38703084163644,36.94433339436849,6.2,0.5714285714285714,26,True,True,53.153999710083006,50.64099979400635,48.33499984741211,45.32019981384278,0.5,0.25,-0.10658518286592283,0.043428623692069235,0.0433947929580238,0.04084507039550899,1.9548922379929816,1.132802026028773,0.5974213140991692,False,2670800,99,90.23906125696101,96.44789180588702,91.72235481304693,88.61575178997614,76.22911694510739,96.70644391408115,81.86157517899761,97.85202863961814,22.794351630867144,3.568019093078759,8.293556085918855,11.400159108989659,30.580747812251392,96.70644391408115,44.74144789180588,2.163882259347653,CHEMICALS
SGP,0.036534886952053924,0.49240779071214336,0.09336513207574622,-0.049067036976134085,0.0007272893732244318,0.007689527496445983,27.520000457763672,27.64779110557874,-0.00462209249654244,26.772318279241446,0.027927434999230484,0.0,0.0,26.15233351389567,17.559999465942383,0.5671982514087606,0.042424274826400564,2261658.3795352937,0.1566187095550029,0.8965428735718685,0.4038812771052329,0.17305059769919026,0.17274394455555736,24.139711439939266,23.466333452860514,3.25,0.6349206349206349,30,True,True,27.68400020599365,27.05300016403198,26.15233351389567,23.913400115966798,0.625,0.0,-0.1424079085219839,0.06168979941648172,0.04848797156306214,0.04634290757511853,1.5777162127365179,2.039589208107519,0.4446727976427232,False,169466,99,90.17104216388225,93.54813046937153,98.18217979315831,88.61575178997614,76.45584725536993,88.57597454256165,88.24980111376293,96.13365155131265,21.7975338106603,6.4677804295942725,1.8337311058074783,11.400159108989659,22.24741447891806,88.57597454256165,56.12569610182975,3.882259347653142,Other
LIFE,2.315485902942195,1.5784753930332653,0.15660922075927605,0.010037679829239402,0.013343372684002474,0.03603607672755716,40.25,38.945792364116784,0.03348776739961427,36.36219610228789,0.10691884194165853,0.0,0.0,34.567999839782715,9.850000381469727,3.086294257990096,1.388723981529621,50090388.27088547,0.7137153068198634,0.8721057963606668,0.3074102133095022,0.4536947947218672,0.9549906917279524,26.09425541226483,20.588333320617675,6.19,0.6825396825396826,33,True,True,38.51699981689453,37.13649978637695,34.567999839782715,28.407599868774415,0.625,0.0,-0.11257603400883977,0.06190767274481559,0.06792630949904092,0.06732918333986108,1.8820417598647246,0.73919651712935,1.4960022876380024,False,2615100,99,89.65194908512332,96.29673826571202,99.51471758154335,88.61575178997614,80.91885441527447,88.41686555290373,64.23229912490055,99.55449482895784,17.045346062052506,3.719172633253779,0.5011933174224343,11.400159108989659,17.78440731901353,88.41686555290373,27.748607796340494,0.4614160700079554,Other
VLO,0.7077537687922345,0.5151692408853803,0.13851626659290903,0.053139868747742895,0.0037794091131707415,0.012946633232434161,390.4200134277344,376.10500081883845,0.038061213165817905,358.80231022739946,0.08812012157975362,0.0,0.0,344.3283355712891,153.14306640625,1.5493809324154995,1.5440127537866533,881608140.4348907,0.7333850621189036,0.9481628383217935,0.9249176642969518,2.2668152741755936,0.45004188589789346,298.9441030678668,269.2474039713542,7.31,0.5714285714285714,26,True,True,372.8420013427734,359.24950103759767,344.3283355712891,324.3925665283203,0.625,0.125,-0.08648087492011576,0.07466122521441106,0.027372825300944092,0.027862858077276065,1.2508791472918381,1.2533741901686906,0.46670621780095267,False,3628200,99,89.62191726332537,97.33094669848846,91.72235481304693,88.61575178997614,84.85680190930788,80.98647573587908,77.66109785202863,96.45186953062847,20.377486077963407,2.6849642004773266,8.293556085918855,11.400159108989659,18.910103420843278,80.98647573587908,54.60620525059666,3.564041368337311,OIL AND GAS DOWNSTREAM
PSX,0.5210194211752027,0.45359245260761244,0.12139268626178346,0.01717042983140261,-0.005023382025944505,0.003713556221472777,259.4700012207031,255.11950565305443,0.0170527751553622,245.1092909436629,0.058589008281783005,0.0,0.0,235.67003784179687,123.11431121826172,1.1075535301554411,1.042770218313931,677986353.8937393,0.5670368290993445,0.9481872338298553,0.8636861824665906,1.6044906639649938,0.3820055613300297,205.92178058995117,187.74888356526694,6.61,0.6507936507936508,24,True,True,254.63500213623047,247.3778335571289,235.67003784179687,220.58117492675783,0.625,0.125,-0.0741710045309828,0.05634632686707865,0.02622430267808763,0.026680769103654498,1.1513792751764202,0.9410198247154219,0.4070989767072516,False,4438400,99,89.49681782020684,96.7024661893397,91.40015910898966,88.61575178997614,86.89339697692921,91.29673826571201,66.05409705648368,95.49721559268099,20.631463802704854,3.313444709626094,8.615751789976134,11.400159108989659,16.873508353221958,91.29673826571201,46.88146380270485,4.518695306284805,OIL AND GAS DOWNSTREAM
RNG,0.8307586096340026,0.7872778053724093,0.01681911198258454,-0.06090749772282479,-0.010338903317252884,-0.001738162586771377,68.91999816894531,70.01340417328792,-0.015617095287016148,67.51166810417197,0.020860543137524824,0.0,0.0,66.23606859842936,24.687557220458984,1.7916896578098938,1.2822705801573187,94027948.41090545,0.8035395613030074,0.9065847517613528,0.2723787254219138,0.7140537917888659,0.4948453835709026,52.79529631590553,46.10510152180989,4.82,0.6190476190476191,32,True,True,70.98899993896484,68.47250022888184,66.23606859842936,57.221629028320315,0.625,0.25,-0.10439949374328625,0.046358989892526625,0.04055418670594374,0.042440508701801966,1.6087675928923764,0.7614417905984703,0.7301113297056817,False,2947400,99,89.42243436754178,93.08273667462213,98.50437549721559,88.61575178997614,82.1917263325378,95.62450278440731,63.48448687350835,98.44073190135244,21.018496420047732,6.9331742243436745,1.5115354017501987,11.400159108989659,30.24661893396977,95.62450278440731,30.914876690533013,1.5751789976133652,CRM
PLSE,1.462216103929545,1.179318784628414,0.1823241935719461,-0.0024417930882187407,0.0026429938912993505,-0.024251326243308863,53.11000061035156,52.07234878332396,0.01992711777502742,49.01367060558877,0.08357525470242394,0.0,0.0,46.70200017293294,12.65999984741211,3.1951027843975868,2.6577134253431978,30546972.921460725,0.9640473951277735,0.9230282120794623,0.46921378646634615,0.5328809090656801,0.8302328020722871,35.752522410901676,29.018166732788085,4.29,0.5873015873015873,34,True,True,51.992000579833984,49.866500282287596,46.70200017293294,39.87070011138916,1.0,0.0,-0.12927499029528744,0.11063906036670375,0.07242785092222673,0.07741870909669177,2.230435702455522,1.1056111721316502,1.1096127915830056,False,1560400,99,88.928599840891,97.64120922832139,97.60143198090692,88.61575178997614,81.412092283214,62.307080350039776,82.11614956245029,99.31583134447096,16.288583929992047,2.3747016706443915,2.4144789180588706,11.400159108989659,20.322195704057282,62.307080350039776,42.736674622116155,0.700079554494829,Other
