Ticker,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema21,ema21_dist,ema60,ema60_dist,sma30d,low_52w,dist_from_52w_low,perf_52w,avg_dollar_vol,ipo_vwap_dist,r_squared,r_squared_15d,slope,sma30w_dist,atr_dist_50sma,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
FFIV,0.41299385824710155,0.16845954535271168,-0.0007037256259046111,-0.034181378650425066,-0.01216025066320599,383.42999267578125,362.9590368756312,0.05640018217032145,328.1480859405897,0.16846633914299353,344.626665242513,223.99000549316406,0.7118174171725851,0.3665134098866774,259517518.3849762,0.3385859419736376,0.8242086024025886,0.8605720076125492,1.7733203284385204,0.34079557141322275,5.93,0.6666666666666666,27,True,True,381.8739990234375,362.3209976196289,344.626665242513,324.2733996582031,0.75,0.125,-0.06240701444199187,0.05033285766015332,0.02868132715705481,0.030748762149538353,2.313637568316775,1.7625453277871128,0.2810226758835349,90.17730769230769,91.63076923076922,94.06538461538462,82.59230769230768,90.31923076923077,92.80000000000001,88.86153846153846,90.56923076923077,24.014230769230775,8.392307692307693,5.95,17.423076923076923,19.488461538461536,92.80000000000001,52.62307692307692,9.446153846153846,CYBER SECURITY
ROG,0.3441528329795874,0.13812331510046807,0.09471305984142384,0.006248328222881723,-0.006239311786271087,144.94000244140625,136.19188006837422,0.06423380284228469,124.46761913165798,0.16447959278543936,134.12766723632814,64.77999877929688,1.2374190363172377,1.1526808035011136,40635003.474313356,0.5482814446964591,0.8402923163247075,0.015986547632802623,0.7378859446711621,0.3636705869996425,4.25,0.6031746031746031,28,True,True,138.2500015258789,138.22150039672852,134.12766723632814,124.02700057983398,0.75,0.125,-0.11911358587121533,0.06016165388446399,0.040690577135505154,0.039661232870671796,1.3965178329850731,1.5275659955683296,0.21861128330454818,86.65384615384615,90.3576923076923,93.84615384615384,82.59230769230768,81.51923076923077,87.38461538461539,77.90769230769232,88.41538461538462,26.179230769230774,9.665384615384616,6.1692307692307695,17.423076923076923,28.28846153846154,87.38461538461539,60.823076923076925,11.600000000000001,Other
IRDM,1.1532845218154346,0.4086287216623233,0.12166296424009354,0.021929794207881076,-0.0025296958485938547,51.2599983215332,44.25115773967186,0.1583877335615517,37.07177474894337,0.38272307351549795,42.459333165486655,15.618335723876953,2.2820397273934954,1.060301395048178,92201985.1819767,1.1110933395761773,0.9173030331324442,0.8442751082579577,0.4329452352589726,0.9367412294328636,6.84,0.6507936507936508,32,True,True,46.464999771118165,43.6209997177124,42.459333165486655,37.70159992218018,0.75,0.125,-0.1617139019221206,0.08847923522280492,0.05432318213478785,0.05260297282954621,2.527029034978177,0.8894606318385132,0.9521714719245593,86.55346153846153,96.50769230769231,98.78846153846155,82.59230769230768,75.51923076923077,68.52307692307691,72.97692307692307,97.41538461538461,19.448846153846155,3.5153846153846158,1.2269230769230768,17.423076923076923,34.28846153846154,68.52307692307691,35.16923076923077,2.6,ARKK
KN,0.39749728060664496,0.2506587765929376,0.07777467255376715,-0.007060681116960069,0.009303623039758131,37.970001220703125,34.831829811060516,0.09009493404926183,31.13066052851209,0.21969789834452716,33.488999938964845,16.239999771118164,1.338054295310424,1.2901086486987061,36986169.66084633,0.5494926326098417,0.8640391548367251,0.3766924150891696,0.2165677734234366,0.43124595713232294,6.03,0.5873015873015873,28,True,True,36.06199989318848,34.99249973297119,33.488999938964845,30.664400062561036,0.75,0.125,-0.1231883902731026,0.0708511026042894,0.035724316489411614,0.039533101966643655,2.3677307870852076,1.0279709852641468,0.26697345179091125,86.37,91.89615384615385,92.53846153846153,82.59230769230768,80.91923076923078,80.24615384615385,79.42307692307693,90.21538461538462,23.37692307692308,8.126923076923077,7.476923076923077,17.423076923076923,28.88846153846154,80.24615384615385,42.723076923076924,9.8,Other
SANM,0.6954142747617988,0.2614655355160804,0.12318659455875333,0.012539945956523633,0.0053853931046733555,263.2300109863281,231.70643148627687,0.13604965256183785,195.46901085073276,0.3466585308877433,220.02666727701822,83.94999694824219,2.1355571239462665,2.1355571239462665,209039084.40522155,0.7920923388979642,0.8471027101579863,0.18803528718758036,2.4190841340066473,0.5696482515485541,7.65,0.6190476190476191,29,True,True,242.4220001220703,237.38150024414062,220.02666727701822,186.24880004882812,0.875,0.125,-0.20868217855732205,0.07941820116171129,0.05645687227501239,0.05400762375480192,2.6739187467362924,1.0512160917979683,0.5370655139866087,86.2926923076923,94.76538461538462,95.9,82.59230769230768,71.49615384615385,74.70769230769231,81.2923076923077,95.03076923076922,22.80807692307692,5.2576923076923086,4.115384615384615,17.423076923076923,40.55769230769231,74.70769230769231,42.1,4.984615384615385,Other
ATEN,0.521429070484307,0.10036518342110191,0.03212142075053933,-0.010825429655129294,0.003087483834156852,29.239999771118164,27.988816628181805,0.04470296688701546,25.496129587661155,0.1468407261809986,27.704717508951823,16.46588134765625,0.7757931782546326,0.724523503357944,25159082.49083214,0.44833289081324484,0.9400239866352936,0.8493908336548758,0.1617830761932924,0.3828606717841589,3.66,0.6984126984126984,28,True,True,28.64400005340576,27.922325229644777,27.704717508951823,26.00250949859619,0.75,0.125,-0.05332381667541073,0.09000703129867364,0.03457289279440075,0.034029512999531816,2.6439468797933317,0.8598469080191955,0.37933022685366236,86.22923076923077,89.81923076923077,95.83076923076922,82.59230769230768,91.50384615384615,67.52307692307691,72.42307692307692,92.9076923076923,19.342307692307692,10.203846153846154,4.184615384615385,17.423076923076923,18.303846153846152,67.52307692307691,33.41538461538461,7.107692307692308,CYBER SECURITY
PKE,0.3842432316527636,0.1110771845835013,0.10366771733684423,0.0,0.023615410733616587,36.40999984741211,34.11678371418912,0.06721665654166709,31.48224896065324,0.15652474170182729,34.0086664835612,13.245108604431152,1.7489393205300816,1.714952427987753,6893293.544332504,0.5059450742770621,0.8138033871683992,0.34089600411744053,0.15787241416775874,0.39651784525680406,2.81,0.6031746031746031,27,True,True,34.477000045776364,34.126999855041504,34.0086664835612,31.993929595947264,0.75,0.25,-0.09626590396171038,0.06777928344641813,0.044421817755770907,0.0491992039350757,1.5196608472561166,1.6746840441357251,0.25495730808434497,86.16365384615385,87.4576923076923,92.23461538461538,82.59230769230768,85.00384615384615,82.39999999999999,80.95384615384616,89.8923076923077,27.593846153846158,12.565384615384616,7.780769230769231,17.423076923076923,36.36153846153846,82.39999999999999,59.65384615384616,10.123076923076923,Other
PDEX,0.5233581112161135,0.3543338642324449,0.07810252902057876,0.03607058202734848,0.04521520728017645,67.5,59.605206559470204,0.13245140644975173,53.44838965648169,0.2629005370195335,56.440999857584636,23.90999984741211,1.8230865926712183,0.6728625167927045,2057916.7314300537,0.641446265133396,0.7859653651433344,0.8559272274893458,0.27120487407971455,0.4972162801681126,5.66,0.6349206349206349,33,True,True,62.46900062561035,58.80300006866455,56.440999857584636,53.75699989318848,0.75,0.125,-0.09438203691969634,0.09560188777537479,0.05400564480990302,0.045153445289248514,1.1808593012275732,1.3555138924369894,0.3810790985176998,85.895,92.11153846153846,98.71538461538462,82.59230769230768,85.38076923076923,64.18461538461538,71.48461538461538,92.96923076923078,21.979615384615382,7.911538461538461,1.2999999999999998,17.423076923076923,24.426923076923075,64.18461538461538,64.06153846153846,7.046153846153846,Other
SNX,0.5738709476998183,0.09900021692217738,0.06699604386326681,0.025916671752929686,-0.002188334001271236,246.22000122070312,231.3209496889523,0.06440856978922553,208.1839672030709,0.1827039542412523,229.25833231608073,118.33343505859375,1.0807306159817411,1.0406672170405467,144875565.095311,0.5358150286523623,0.9061352972586866,0.19031016042988383,1.756807003519319,0.4060789172442063,6.48,0.5079365079365079,23,True,True,235.05599670410157,233.73099746704102,229.25833231608073,208.76848419189454,0.875,0.125,-0.05358268467365838,0.032608424854259556,0.025997529304096222,0.027681416947396193,1.025074379894492,1.1770401376173696,0.4268741234437791,85.43615384615386,91.97692307692307,68.81153846153846,82.59230769230768,93.69615384615385,98.9076923076923,64.18461538461538,93.67692307692307,29.184615384615384,8.046153846153846,31.203846153846158,17.423076923076923,18.357692307692307,98.9076923076923,66.00769230769231,6.338461538461539,Other
BSTZ,0.3590587992288037,0.21335773318042084,0.06835801943008986,0.031292520007860355,0.02225218647361846,30.31999969482422,27.781665339056353,0.09136724975948055,25.486321569914065,0.1896577390209258,27.083974583943686,17.251569747924805,0.7575212075104887,0.7484710898744303,6290638.634410858,0.4211659660076763,0.8933244883611808,0.4279586038093864,0.14772334269114906,0.31715719437785994,7.63,0.6666666666666666,25,True,True,28.485700035095213,27.931342220306398,27.083974583943686,25.16252769470215,0.875,0.0,-0.08712615593896936,0.09817300829947191,0.027365485222114728,0.02685397330980679,3.2827143533870204,1.0645285101666775,0.2321250580883176,85.43153846153845,90.89999999999999,90.09615384615384,82.59230769230768,88.79615384615386,62.63076923076923,83.14615384615385,89.06153846153846,19.99942307692308,9.123076923076923,9.919230769230769,17.423076923076923,14.26923076923077,62.63076923076923,41.184615384615384,10.953846153846154,Other
