Ticker,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema21,ema21_dist,r_squared,r_squared_21d,slope,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
XOMA,0.6324388454004483,0.39111704058897306,0.06038401412536648,0.10768017674260891,0.10738785042119692,41.970001220703125,36.74726462656054,0.14212586017538953,0.8072167899560017,0.8122559115677724,0.2704886856350115,0.5873015873015873,29,True,True,39.55700035095215,36.91950044631958,34.223667017618816,30.931200218200683,0.625,0.0,-0.15127920013278598,0.039395902883843446,0.04465142438599695,0.04329624788262819,5.791514627965906,10.784874753090575,0.5831937797681409,90.66916961130742,95.20558946354,93.50305171859942,79.54946996466433,79.18406681657567,95.02088017989078,98.00032123353678,97.30163829103759,22.973016382910377,4.8185030517186,6.513009958239641,20.46659171217475,18.571313845165434,95.02088017989078,51.62222936074526,2.714423385801478,Other
OOMA,0.34584010538023213,0.17857142857142858,0.041666656632214784,0.03773587395376227,0.027397294438938416,16.5,15.092705443623124,0.09324335929258308,0.8454287225103436,0.629624935592596,0.0745420509036602,0.6349206349206349,27,True,True,15.58799991607666,14.979500007629394,14.656000010172527,13.905400009155274,0.625,0.25,-0.07422510851740051,0.03805935705532344,0.03234174665760534,0.030294368793438005,3.6089961128950483,1.1740711799857948,0.3052407380552143,89.38845165435272,89.17844522968198,94.24188885319627,79.54946996466433,89.56794089302923,95.80790234500482,87.70478637969804,92.38676517828462,24.69623353678124,10.845647285576614,5.774172823642789,20.46659171217475,21.75955669771924,95.80790234500482,44.410536460006426,7.6292964985544485,Other
RSI,0.4207138952522979,0.15729271765548483,0.04475047012779318,0.0411664238586743,0.02663852339437736,24.280000686645508,22.50609496021391,0.07881890348225637,0.8928821103229646,0.6963746872984864,0.11185579132374532,0.5714285714285714,30,True,True,23.12599983215332,22.432499980926515,22.00133336385091,20.997200050354003,0.875,0.0,-0.11179424899717597,0.03881188471087839,0.03887194198272065,0.03646446815303018,1.4829004944666824,1.470293309706512,0.3778558431950596,88.17780276260842,90.02971410215227,92.43896562801157,79.54946996466433,88.15049791198201,95.35817539351108,76.80693864439448,94.33022807581112,25.124076453581754,9.994378413106329,7.577096048827498,20.46659171217475,13.086251204625762,95.35817539351108,63.51590106007067,5.685833601027947,GAMBLING
ZYME,0.22838707380397347,0.18114140221201955,0.010258189016019974,0.0411957399998053,0.0163700739582907,28.559999465942383,26.90624405742087,0.06146362922272677,0.7810293462212619,0.8615944650494147,0.08930659806856547,0.6190476190476191,27,True,True,27.845000076293946,26.891499996185303,25.895833460489907,25.043299980163575,0.875,0.0,-0.10133542876989043,0.043727661775589816,0.03989483557699912,0.03975088454105448,3.3164777011167224,1.291204336597822,0.19133086049356582,88.07239800835207,87.13058143270158,93.53517507227755,79.54946996466433,89.70044972695149,92.1779633793768,89.21458400256986,87.32733697398008,24.180653710247352,12.89351108255702,6.480886604561516,20.46659171217475,11.53629938965628,92.1779633793768,46.98040475425634,12.688724702858977,Other
GLRE,0.39290994560464254,0.12529835040520346,0.021668556106016354,-0.001588077303661221,-0.0073683889288651315,18.860000610351562,18.06494144637825,0.04401116750548399,0.905471649544828,0.7472315664360698,0.09852678806001687,0.6825396825396826,24,True,True,18.542000007629394,18.233500003814697,17.703999964396157,16.369799938201904,0.625,0.0,-0.0532859473684686,0.05140011721388084,0.028287243803504013,0.028404786234219513,3.6187287329258657,1.0258455968038016,0.3508906430840832,87.34721329906844,87.79312560231288,88.5239318984902,79.54946996466433,91.87279151943463,86.10664953421137,84.24349502088018,93.71988435592677,22.06111468037263,12.23096691294571,11.492129778348861,20.46659171217475,5.882589142306457,86.10664953421137,40.868936716993254,6.296177320912304,Other
FORM,0.951328477593464,0.46972319235430743,0.013306107286566282,-0.029925204472099565,-0.07189843321913512,143.92999267578125,128.26623144189557,0.12211913500383258,0.7178047291793205,0.954899294422496,0.9530040031204575,0.6190476190476191,33,True,True,140.24199752807618,124.76849975585938,115.76699956258138,107.05539962768555,0.625,0.375,-0.1967305994009235,0.07498659106445797,0.06105865826519323,0.06275121852532885,3.0896739943237748,1.7429536964916015,0.8924636084928345,87.16792483135241,95.00883392226149,98.00835207195632,79.54946996466433,73.12881464824929,66.88082235785416,92.30645679408931,98.93992932862191,24.2071554770318,5.0152585929971085,2.0077096048827494,20.46659171217475,51.08014776742692,66.88082235785416,51.244779955027305,1.0761323482171539,SEMICONDUCTORS
ANIK,0.7322405510674378,0.10994402505999701,0.05385641101536957,0.027885882169147683,0.03122970068214705,15.850000381469727,15.11252483483213,0.04879896342256626,0.8290443878759908,0.684640364464786,0.11072388872756021,0.6349206349206349,27,True,True,15.502000045776366,15.159000062942505,14.877666727701824,14.048000011444092,0.625,0.125,-0.07419783782398551,0.03545959414012118,0.03787353728530564,0.03686344819571614,2.55068667576171,0.6445388210663647,0.6799848112162249,87.12475907484742,87.10247349823322,94.24188885319627,79.54946996466433,89.57597173144876,96.96434307741728,63.564086090587864,97.91198201092193,21.588098297462256,12.921619017025376,5.774172823642789,20.46659171217475,12.612431737873434,96.96434307741728,26.228718278188246,2.104079665917122,Other
MANE,1.6516555887184396,0.5275446412147049,0.3646898508039884,0.4454873425865862,0.47553071753649717,100.0999984741211,70.50490897042803,0.41975927543011465,0.8440834207317331,0.4602640228005346,0.7175862008436746,0.6140350877192983,30,True,True,76.07199935913086,69.31999988555908,66.77599983215332,59.0065998840332,0.625,0.125,-0.1604737746492681,0.09077731207530707,0.10453217483855078,0.07815754616107687,2.1736899348490892,5.608975403658302,1.5372763517074286,87.0958480565371,97.75136524253134,96.38612271121104,79.54946996466433,77.84291680051399,55.47703180212014,90.77256665595888,99.66270478637969,19.251124317378732,2.272727272727273,3.6299389656280114,20.46659171217475,24.345486668808224,55.47703180212014,58.33601027947317,0.35335689045936397,Other
DELL,0.889396849281001,0.26091758687388017,0.01699943774710835,0.0180541238902331,-0.0005553015836969556,215.97000122070312,191.47768009368153,0.12791214681021093,0.9228095977935383,0.8899429517289389,1.6424212829308575,0.5555555555555556,29,True,True,202.3932113647461,188.82198104858398,180.58971201578777,162.22035598754883,0.75,0.25,-0.10803753526531722,0.03288690998908826,0.04557163676634822,0.04455108831623851,0.916884213819773,0.825227689850887,0.8324002444094148,86.8097494378413,96.43029232251847,89.18246064889175,79.54946996466433,88.082235785416,97.86379698040474,45.23771281721811,98.69900417603597,25.81131545133312,3.5938001927401224,10.833601027947317,20.46659171217475,26.0480244137488,97.86379698040474,63.925473819466745,1.3170575008030838,DATA CENTERS
WATT,3.540579636330817,1.1606896499107624,0.3314916706095742,0.33831696402892,0.11138699291100977,31.329999923706055,21.456038776620282,0.4601949712099235,0.8014177808853057,0.8428361162544874,0.265841488830871,0.5873015873015873,34,True,True,24.41399974822998,20.211999702453614,18.703833198547365,15.877899913787841,0.75,0.25,-0.26780021485542865,0.07138392443039526,0.12793778286947052,0.1018695004081566,2.126313473470938,1.5679346221858985,3.403605964802572,86.48349662704784,97.20526823000321,95.65531641503372,79.54946996466433,68.51108255701895,69.7398008352072,86.5563764857051,99.95181496948281,23.74919691615805,2.8188242852553804,4.360745261805333,20.46659171217475,45.61917764214584,69.7398008352072,54.97108898168969,0.064246707356248,Other
