Ticker,6m_return,3m_return,1m_return,1w_return,3d_return,1d_return,last_price,ema9,ema9_dist,ema21,ema21_dist,ema60,ema60_dist,sma30d,low_52w,dist_from_52w_low,perf_52w,avg_dollar_vol,ipo_vwap_dist,r_squared,r_squared_15d,slope,sma30w_dist,ema21w,sma30w,atr_dist_50sma,bullish_ratio,strong_bullish_count,ma_aligned,ma_positive_slopes,ma10,ma20,ma30,ma50,consistency_score,ll_lh_score,max_drawdown,atr_stability,adr_pct,atr_pct,up_down_ratio,volume_surge,rs_rating,has_9m_vol,max_vol_25d,days_since_9m,Final_Score,Score_Price,Score_Candles,Score_MA,Score_Trend,Score_Vol,Score_Volume,Score_RS,Short_Score,Short_Price,Short_Candles,Short_MA,Short_Trend,Short_Vol,Short_Volume,Short_RS,Sector
TEAM,1.4484594531053323,1.0131167429121468,0.15672507710730563,-0.07761447462516895,0.017855170547371225,0.010295947870470105,179.57000732421875,181.5505529351522,-0.010909058545477907,170.73211504767266,0.05176467399866935,0.0,0.0,159.51166661580405,57.150001525878906,2.142082283985681,0.016184712249955033,727984228.8174438,0.6735059548216653,0.8347271640764702,0.20127053932189765,2.089655828182965,0.7839911387461438,128.54788003165692,100.6563336690267,6.8,0.6031746031746031,30,True,True,186.16649932861327,176.9222496032715,159.51166661580405,131.87080001831055,0.875,0.0,-0.18427091408227012,0.05945343343570983,0.049898672495969194,0.053223217092892405,2.0220860289360703,0.7479016726411061,0.9547664047429,True,20086000,23,88.02600095709045,95.98819588451109,97.12474078800446,87.69341202743661,73.8435157122348,90.36528951985963,62.93667251555273,98.99505503270059,19.17789918647312,4.027755622906365,2.8912107194129844,12.322539479980858,27.907162226830433,90.36528951985963,25.642048173552404,1.0208964747168607,INDEX QQQE
CDNA,2.0407293700833598,1.1141166855601132,0.05728173759898881,0.0032089820588347808,-0.005764279618590943,-0.00019984652762655217,50.02000045776367,49.92513100000605,0.001900234528330297,48.324142655950865,0.03509338621662997,0.0,0.0,47.79733339945475,13.529999732971191,2.6969698037665273,2.6969698037665273,55792654.45727043,1.0293777131741078,0.9198728001725306,0.1640320358751235,0.5123099150013082,0.7429583859416068,36.54199931415733,28.698333168029784,3.78,0.5873015873015873,29,True,True,50.193000411987306,48.92800025939941,47.79733339945475,41.98740001678467,0.5,0.125,-0.12221121186236565,0.09570652866850614,0.048067298299260035,0.050645465968034,2.0387674792392176,1.416412025015782,1.052838856558885,False,1887600,99,87.88961556867125,95.0550327005902,95.60934758334662,87.69341202743661,73.14962513957568,71.17562609666614,86.20194608390493,99.20242462912745,19.60380443451906,4.960918806827245,4.406603924070825,12.322539479980858,25.2033817195725,71.17562609666614,48.747806667730096,0.8135268782899984,GENOMICS
IBEX,0.2987102693603029,0.2128905974726264,0.06063185848722337,-0.05455472048219477,0.009756010318910746,0.0059394546589666905,37.2599983215332,37.699510906012314,-0.011658309986430556,37.18934321291266,0.0018998751393923463,0.0,0.0,36.806833267211914,26.399999618530273,0.4113635931790033,0.22324357982423337,4004186.853527069,0.08651979644867636,0.842141781235195,0.22768254390185458,0.14016848903280987,0.17074085242162915,34.496085990256326,31.825999959309897,1.5,0.6507936507936508,23,True,True,38.07999954223633,37.09850006103515,36.806833267211914,35.64729984283447,0.5,0.125,-0.09139637824363595,0.04709791556728536,0.031085487731943324,0.03021238322864074,4.317427304090685,1.6870051700518858,0.17773487350678777,False,217200,99,87.70956292869677,88.4630722603286,88.19987238794066,87.69341202743661,77.88722284255861,95.51762641569628,92.46291274525443,87.2866485882916,25.223321103844317,11.55287924708885,11.816079119476791,12.322539479980858,20.46578401658957,95.51762641569628,48.19747966182805,12.729302919125857,Other
LIFE,2.1079998779296876,1.2613502784640138,0.15659417379097434,0.0302306925835445,-0.07544031292500579,-0.021903391738280275,38.849998474121094,38.61974045514597,0.005962184526914392,35.97341571251668,0.07996412641470477,0.0,0.0,33.9019998550415,9.850000381469727,2.9441621288875783,1.3056378394415464,50652249.184653476,0.6639945867843198,0.8625044962318319,0.37295326561360576,0.44521457117090946,0.8912778220380672,25.966982546275837,20.54166660308838,5.6,0.6666666666666666,33,True,True,38.43599967956543,36.86399974822998,33.9019998550415,27.989799880981444,0.5,0.125,-0.11257603400883977,0.06196916296638464,0.06828830814747323,0.06929582663546158,1.6821719096393335,0.6383425396706559,1.195804872847538,False,2630900,99,87.63299569309301,95.90445047056946,99.39783059499123,87.69341202743661,74.65704259052481,88.75418727069709,55.87813048333067,99.3140851810496,17.7484447280268,4.111501036847982,0.6181209124262242,12.322539479980858,23.695964268623385,88.75418727069709,22.794704099537405,0.7018663263678417,Other
GEN,0.44087583823307674,0.2571886898959265,0.050876325042957374,-0.043568457530870526,0.0051996205777391745,0.006888438243595978,29.96500015258789,30.109964105034937,-0.004814484399295769,29.545564852163405,0.014196218705690886,0.0,0.0,29.078554153442383,17.716535568237305,0.6913577734864808,0.030095679762737478,161064208.09058952,0.2296382943937627,0.8800952588692693,0.31022938720672155,0.11518823203220163,0.23903481332534238,26.769770797100627,24.184147071838378,2.42,0.6031746031746031,22,True,True,30.470499992370605,29.513010787963868,29.078554153442383,27.961381607055664,0.625,0.0,-0.07182528013245888,0.044245670824326545,0.028985166583758225,0.029629806779051002,2.5187111164346088,1.0228788805185844,0.22074898243422128,True,11324600,23,87.6210320625299,89.40819907481256,84.51906205136385,87.69341202743661,86.99553357792311,96.53852289041315,77.54825330993779,89.79103525283139,22.929893124900307,10.607752432604881,15.496889456053598,12.322539479980858,11.49306109427341,96.53852289041315,37.04737597702983,10.22491625458606,Other
TORO,1.0869566046992403,0.3139535678879366,0.16896551497342618,0.08393286742798997,0.04468419860055269,0.05607478648539527,6.78000020980835,6.382589212562719,0.06226485584618464,6.116251406877281,0.10852215822664367,0.0,0.0,5.885833311080932,1.7395933866500854,2.8974626265190144,2.8707676170679814,165465.0721649647,0.5508821469828086,0.7661669643565884,0.6402955489547547,0.02568860436731037,0.39529653102304435,5.333094245289029,4.859182302157084,5.52,0.6984126984126984,27,True,True,6.324000024795533,6.116999983787537,5.885833311080932,5.529199991226196,0.875,0.0,-0.06923070574652987,0.11159810783241028,0.050448007885393754,0.04097029747675085,4.21775390625,2.5453211503692694,0.27586852622560337,False,67998,99,87.60767267506779,85.66358270856597,95.91641410113256,87.69341202743661,90.60855000797575,62.78513319508694,95.25442654330834,92.55064603605041,19.864212793108948,14.352368798851492,4.099537406284894,12.322539479980858,11.142127931089489,62.78513319508694,51.164460041473916,7.465305471367044,Other
TNK,0.5421125338411988,0.3595723042531715,0.21461244580715297,0.06991177219789867,0.06411781708591013,0.02014331316150203,98.25,93.02588954412646,0.056157597433083475,89.20812188362143,0.10135711777649983,0.0,0.0,85.94478225708008,47.72127151489258,1.058830305251584,0.9340406239686596,47036387.07931824,0.460417820748369,0.7180097078542713,0.33213488328096064,0.40371122741113225,0.2916052566431301,79.61471061217331,76.06813265482585,6.2,0.5714285714285714,30,True,True,91.76800003051758,90.1379997253418,85.94478225708008,80.38809432983399,0.875,0.0,-0.18785501130876076,0.04600787600640995,0.03487615970335005,0.0358124333960236,1.6196906881376276,1.0199178803716868,0.32016500013232113,False,1300800,99,87.3580315839847,90.59658637741268,95.12282660711438,87.69341202743661,73.39687350454618,95.93236560855001,73.10575849417769,93.73105758494178,23.545023129685756,9.419365130004786,4.893124900303079,12.322539479980858,28.353804434519063,95.93236560855001,41.33035571861541,6.284893922475673,ENERGY SHIPPING
MPC,0.7168525893275929,0.5087401742485086,0.12991965498258173,0.01214831207980869,-0.01344992265304765,-0.017574576834481256,392.4200134277344,386.29385200837083,0.015858811595144903,368.81883723904485,0.06399124395425808,0.0,0.0,352.5111897786458,160.76361083984375,1.4409753636267342,1.1884405010321164,875838883.1249176,0.6807153495813857,0.9356627647603902,0.9061917266699538,2.491680249274235,0.44901579024051597,304.6458151457382,270.81831410725914,6.94,0.6190476190476191,23,True,True,384.1929992675781,371.67791442871095,352.5111897786458,329.8165631103516,0.625,0.125,-0.07842009964933724,0.09954865499558065,0.026962400416842325,0.02733404210759946,1.2597382101896302,1.0870971937483676,0.46500922834738917,False,4058700,99,87.05036688467061,97.0569468814803,87.55782421438826,87.69341202743661,85.75929175307067,69.19763917690221,70.78481416493858,96.36305630882119,19.362338490987398,2.959004625937151,12.458127293029191,12.322539479980858,18.41601531344712,69.19763917690221,48.58031583984686,3.6528951985962674,OIL AND GAS DOWNSTREAM
ECO,0.8498145883008702,0.5989328815126758,0.26531323345882185,0.04830363324152321,0.042458918517190296,0.017441049699114215,72.91999816894531,69.68275901790527,0.0464568165305886,66.01700683329958,0.104563833878088,0.0,0.0,62.90200843811035,24.166736602783203,2.017370502583595,1.9565618855572977,34374212.37488556,0.64460976851012,0.8937597201072368,0.8678880181427444,0.41079946322375177,0.45005481340612646,55.21749174145396,50.28775291442871,8.23,0.6190476190476191,26,True,True,69.24499816894532,66.34499874114991,62.90200843811035,58.05009719848633,1.0,0.0,-0.1242938517381673,0.12369401480088082,0.029001212860198612,0.031109352465510862,2.994030663089306,0.9863819387038496,0.5525876932990857,False,853100,99,86.85974637103207,96.74190460998565,93.67522730898071,87.69341202743661,82.07050566278514,57.29781464348381,76.90221725953103,97.38395278353804,16.056189184877972,3.2740468974318073,6.340724198436751,12.322539479980858,19.827723719891527,57.29781464348381,34.71048014037327,2.631998723879407,ENERGY SHIPPING
DK,0.8013855058303814,0.5970349371556815,0.11410291624010006,0.03439223496258488,-0.010307900068338888,-0.005180650849793759,74.88999938964844,73.23709205284364,0.02256926497862804,70.46537053859967,0.06279153600171637,0.0,0.0,68.18135312398275,26.257404327392578,1.8521478534540734,1.6706163711450743,127585510.07067414,0.7423700927618783,0.8647658714803684,0.6664104492425647,0.49552863497521654,0.4662674954220135,58.201569938734906,51.07526397705078,2.55,0.6349206349206349,27,True,True,73.1739990234375,70.46449966430664,68.18135312398275,64.82362075805663,0.5,0.25,-0.1353990337191792,0.09180494807424307,0.05694391323069945,0.06099145251081349,1.7031458303115796,1.1402641780868374,0.5507447610001089,False,3416000,99,86.761445206572,95.00717817833787,95.44983250917213,87.69341202743661,71.17961397352049,73.24932206093476,78.01084702504386,97.35204976870314,21.269341202743657,5.008773329079598,4.566118998245335,12.322539479980858,36.18998245334184,73.24932206093476,44.64029350773648,2.6639017387143085,OIL AND GAS DOWNSTREAM
